Rank,Team,GM,W-L,OPP PTS,OPP PPG
208,North Carolina (ACC) ,32,23-9 ,2354,73.6
209,Delaware (CAA) ,33,14-19 ,2428,73.6
210,Yale (Ivy League) ,30,16-14 ,2208,73.6
211,Sacramento St. (Big Sky) ,32,7-25 ,2358,73.7
212,LSU (SEC) ,30,17-13 ,2212,73.7
213,Ball St. (MAC) ,31,19-12 ,2286,73.7
214,La Salle (Atlantic 10) ,32,13-19 ,2360,73.8
215,VMI (SoCon) ,30,9-21 ,2214,73.8
215,Tulane (AAC) ,30,14-16 ,2214,73.8
217,Illinois (Big Ten) ,32,14-18 ,2362,73.8
217,Hampton (MEAC) ,32,18-14 ,2362,73.8
219,American (Patriot) ,30,6-24 ,2215,73.8
220,DePaul (Big East) ,31,11-20 ,2289,73.8
221,UT Arlington (Sun Belt) ,31,19-12 ,2290,73.9
222,Appalachian St. (Sun Belt) ,32,15-17 ,2364,73.9
223,Boston College (ACC) ,33,19-14 ,2441,74
224,Vanderbilt (SEC) ,32,12-20 ,2368,74
225,South Dakota St. (Summit League) ,34,28-6 ,2518,74.1
226,Longwood (Big South) ,33,7-26 ,2445,74.1
227,Army West Point (Patriot) ,30,13-17 ,2223,74.1
228,Portland (WCC) ,32,10-22 ,2372,74.1
229,Cal Poly (Big West) ,30,9-21 ,2227,74.2
230,Creighton (Big East) ,31,21-10 ,2303,74.3
231,Wake Forest (ACC) ,31,11-20 ,2305,74.4
232,N.C. A&T (MEAC) ,32,19-13 ,2380,74.4
233,Idaho St. (Big Sky) ,30,14-16 ,2232,74.4
234,Lafayette (Patriot) ,31,10-21 ,2307,74.4
235,NC State (ACC) ,32,21-11 ,2383,74.5
236,Florida St. (ACC) ,31,20-11 ,2309,74.5
237,Coppin St. (MEAC) ,32,5-27 ,2384,74.5
238,Massachusetts (Atlantic 10) ,32,13-19 ,2385,74.5
239,Alcorn (SWAC) ,32,11-21 ,2388,74.6
239,UTSA (C-USA) ,32,19-13 ,2388,74.6
241,Cleveland St. (Horizon) ,35,12-23 ,2613,74.7
242,Grambling (SWAC) ,31,17-14 ,2321,74.9
243,VCU (Atlantic 10) ,31,17-14 ,2322,74.9
243,Stanford (Pac-12) ,31,17-14 ,2322,74.9
245,Xavier (Big East) ,31,27-4 ,2323,74.9
246,Toledo (MAC) ,31,21-10 ,2324,75
247,Loyola Maryland (Patriot) ,31,9-22 ,2326,75
248,Minnesota (Big Ten) ,32,15-17 ,2402,75.1
249,Siena (MAAC) ,32,8-24 ,2405,75.2
250,East Carolina (AAC) ,29,10-19 ,2180,75.2
251,Jacksonville (ASUN) ,33,15-18 ,2482,75.2
252,Northern Ill. (MAC) ,32,13-19 ,2407,75.2
253,Maine (America East) ,32,6-26 ,2408,75.3
254,Nicholls St. (Southland) ,31,21-10 ,2333,75.3
255,Arizona St. (Pac-12) ,31,20-11 ,2335,75.3
256,San Jose St. (MWC) ,30,4-26 ,2260,75.3
257,James Madison (CAA) ,32,10-22 ,2414,75.4
258,Iowa St. (Big 12) ,31,13-18 ,2339,75.5
259,Richmond (Atlantic 10) ,30,11-19 ,2267,75.6
260,Western Caro. (SoCon) ,32,13-19 ,2419,75.6
261,Akron (MAC) ,31,14-17 ,2344,75.6
262,Saint Francis (PA) (NEC) ,30,18-12 ,2271,75.7
263,Rice (C-USA) ,31,7-24 ,2347,75.7
264,Green Bay (Horizon) ,33,13-20 ,2499,75.7
265,Arkansas (SEC) ,31,21-10 ,2348,75.7
266,Fairleigh Dickinson (NEC) ,31,13-18 ,2350,75.8
267,Ohio (MAC) ,31,14-17 ,2353,75.9
268,George Mason (Atlantic 10) ,31,15-16 ,2354,75.9
269,Morehead St. (OVC) ,29,8-21 ,2204,76
270,St. Francis Brooklyn (NEC) ,31,13-18 ,2357,76
271,Iona (MAAC) ,33,20-13 ,2513,76.2
272,Elon (CAA) ,32,14-18 ,2437,76.2
273,UCLA (Pac-12) ,30,20-10 ,2287,76.2
274,Oakland (Horizon) ,33,19-14 ,2516,76.2
275,TCU (Big 12) ,31,21-10 ,2364,76.3
276,Fort Wayne (Summit League) ,32,18-14 ,2441,76.3
277,Alabama A&M (SWAC) ,31,3-28 ,2367,76.4
278,Prairie View (SWAC) ,33,16-17 ,2521,76.4
279,Loyola Marymount (WCC) ,31,11-20 ,2369,76.4
280,UMKC (WAC) ,31,10-21 ,2370,76.5
281,Georgetown (Big East) ,30,15-15 ,2294,76.5
282,Eastern Ky. (OVC) ,31,11-20 ,2371,76.5
283,Monmouth (MAAC) ,31,11-20 ,2372,76.5
284,LIU Brooklyn (NEC) ,34,18-16 ,2603,76.6
285,Quinnipiac (MAAC) ,33,12-21 ,2531,76.7
286,Buffalo (MAC) ,31,23-8 ,2378,76.7
287,Delaware St. (MEAC) ,32,4-28 ,2459,76.8
288,McNeese (Southland) ,28,11-17 ,2161,77.2
289,Columbia (Ivy League) ,27,8-19 ,2085,77.2
290,Fairfield (MAAC) ,33,17-16 ,2549,77.2
291,Incarnate Word (Southland) ,28,7-21 ,2163,77.3
292,UMES (MEAC) ,32,7-25 ,2473,77.3
293,Hofstra (CAA) ,31,19-12 ,2397,77.3
294,Lipscomb (ASUN) ,32,23-9 ,2480,77.5
295,Kennesaw St. (ASUN) ,30,10-20 ,2328,77.6
296,Rider (MAAC) ,31,22-9 ,2406,77.6
297,Oral Roberts (Summit League) ,32,11-21 ,2484,77.6
298,California (Pac-12) ,31,8-23 ,2407,77.6
299,Lehigh (Patriot) ,30,16-14 ,2333,77.8
300,Washington St. (Pac-12) ,31,12-19 ,2411,77.8
301,Bowling Green (MAC) ,32,16-16 ,2490,77.8
302,Southeast Mo. St. (OVC) ,31,14-17 ,2413,77.8
303,New Mexico (MWC) ,31,17-14 ,2416,77.9
304,Marquette (Big East) ,31,19-12 ,2417,78
305,Stetson (ASUN) ,32,12-20 ,2496,78
306,UNLV (MWC) ,32,20-12 ,2498,78.1
307,Northwestern St. (Southland) ,29,4-25 ,2264,78.1
308,Mississippi Val. (SWAC) ,32,4-28 ,2500,78.1
308,Ole Miss (SEC) ,32,12-20 ,2500,78.1
