Rank,Team,GM,W-L,Opp TO,TO,Ratio
135,Ark.-Pine Bluff (SWAC) ,32,13-20 ,492,468,0.8
135,Mississippi Val. (SWAC) ,32,4-28 ,446,422,0.8
137,La Salle (Atlantic 10) ,32,13-19 ,397,374,0.7
137,Northern Ill. (MAC) ,32,13-19 ,401,378,0.7
139,Hawaii (Big West) ,30,17-13 ,423,402,0.7
140,Tennessee Tech (OVC) ,33,19-14 ,494,471,0.7
140,Howard (MEAC) ,33,10-23 ,465,442,0.7
142,Wagner (NEC) ,32,23-9 ,460,438,0.7
143,Louisiana Tech (C-USA) ,32,17-15 ,417,396,0.7
144,South Dakota St. (Summit League) ,34,28-6 ,362,340,0.6
145,Mississippi St. (SEC) ,32,22-10 ,440,420,0.6
146,Houston Baptist (Southland) ,31,6-25 ,457,438,0.6
147,Towson (CAA) ,32,18-14 ,424,405,0.6
148,Columbia (Ivy League) ,27,8-19 ,354,338,0.6
149,Holy Cross (Patriot) ,31,12-19 ,399,381,0.6
150,Arkansas St. (Sun Belt) ,32,11-21 ,437,419,0.6
150,Duquesne (Atlantic 10) ,32,16-16 ,401,383,0.6
150,Creighton (Big East) ,32,21-11 ,376,358,0.6
153,DePaul (Big East) ,31,11-20 ,447,430,0.5
154,Marquette (Big East) ,32,19-13 ,403,386,0.5
155,IUPUI (Horizon) ,30,11-19 ,441,427,0.5
156,Campbell (Big South) ,31,16-15 ,390,376,0.5
157,Western Caro. (SoCon) ,32,13-19 ,490,476,0.4
157,Ohio St. (Big Ten) ,32,24-8 ,392,378,0.4
159,Navy (Patriot) ,32,20-12 ,465,452,0.4
159,Niagara (MAAC) ,32,19-13 ,373,360,0.4
159,Lipscomb (ASUN) ,32,23-9 ,493,480,0.4
162,Loyola Marymount (WCC) ,31,11-20 ,416,404,0.4
163,South Carolina St. (MEAC) ,32,10-22 ,457,445,0.4
164,Eastern Ky. (OVC) ,31,11-20 ,412,401,0.4
165,Samford (SoCon) ,32,10-22 ,446,435,0.3
165,Minnesota (Big Ten) ,32,15-17 ,364,353,0.3
167,Syracuse (ACC) ,33,20-13 ,424,415,0.3
167,Jacksonville St. (OVC) ,33,21-12 ,433,424,0.3
169,Evansville (MVC) ,32,17-15 ,437,431,0.2
170,Bradley (MVC) ,33,20-13 ,447,441,0.2
171,Liberty (Big South) ,34,20-14 ,416,410,0.2
172,Wichita St. (AAC) ,30,24-6 ,351,346,0.2
173,Utah (Pac-12) ,30,19-11 ,364,360,0.1
174,UC Riverside (Big West) ,31,9-22 ,433,429,0.1
175,Drake (MVC) ,32,16-16 ,387,383,0.1
175,Hartford (America East) ,32,19-13 ,394,390,0.1
175,Presbyterian (Big South) ,32,11-21 ,384,380,0.1
178,Vermont (America East) ,33,27-6 ,369,365,0.1
179,FGCU (ASUN) ,34,23-11 ,480,476,0.1
180,Ohio (MAC) ,31,14-17 ,415,412,0.1
181,Kent St. (MAC) ,33,17-16 ,431,428,0.1
182,Princeton (Ivy League) ,29,13-16 ,336,334,0.1
183,New Orleans (Southland) ,31,15-16 ,479,477,0.1
184,San Francisco (WCC) ,33,18-15 ,399,397,0.1
185,Clemson (ACC) ,31,23-8 ,375,374,0
185,Weber St. (Big Sky) ,31,20-11 ,369,368,0
187,Sacramento St. (Big Sky) ,32,7-25 ,386,385,0
187,Texas St. (Sun Belt) ,32,15-17 ,429,428,0
189,Bucknell (Patriot) ,34,25-9 ,428,429,0
190,Eastern Wash. (Big Sky) ,32,19-13 ,369,370,0
190,USC Upstate (ASUN) ,32,7-25 ,369,370,0
190,Detroit Mercy (Horizon) ,32,8-24 ,434,435,0
193,Fla. Atlantic (C-USA) ,31,12-19 ,393,394,0
194,Green Bay (Horizon) ,33,13-20 ,450,453,-0.1
194,Saint Mary's (CA) (WCC) ,33,28-5 ,318,321,-0.1
196,Albany (NY) (America East) ,32,22-10 ,368,371,-0.1
196,TCU (Big 12) ,32,21-11 ,403,406,-0.1
196,UConn (AAC) ,32,14-18 ,400,403,-0.1
199,Bowling Green (MAC) ,32,16-16 ,404,408,-0.1
200,Winthrop (Big South) ,31,19-12 ,425,429,-0.1
200,UTEP (C-USA) ,31,11-20 ,379,383,-0.1
202,Hampton (MEAC) ,32,18-14 ,404,409,-0.2
203,Southeast Mo. St. (OVC) ,31,14-17 ,383,388,-0.2
204,Boston College (ACC) ,34,19-15 ,426,432,-0.2
205,Milwaukee (Horizon) ,33,16-17 ,406,412,-0.2
206,UT Arlington (Sun Belt) ,31,19-12 ,464,470,-0.2
206,Oklahoma (Big 12) ,31,18-13 ,409,415,-0.2
208,N.C. A&T (MEAC) ,33,20-13 ,446,453,-0.2
208,Jacksonville (ASUN) ,33,15-18 ,465,472,-0.2
210,Indiana St. (MVC) ,31,13-18 ,440,447,-0.2
210,Eastern Ill. (OVC) ,31,12-19 ,410,417,-0.2
212,Kennesaw St. (ASUN) ,30,10-20 ,402,409,-0.2
213,UNI (MVC) ,32,16-16 ,356,364,-0.3
213,Georgia Tech (ACC) ,32,13-19 ,403,411,-0.3
215,Bryant (NEC) ,31,3-28 ,393,401,-0.3
215,Binghamton (America East) ,31,11-20 ,373,381,-0.3
217,CSU Bakersfield (WAC) ,30,12-18 ,407,417,-0.3
217,UTSA (C-USA) ,33,19-14 ,406,417,-0.3
219,Illinois St. (MVC) ,33,18-15 ,426,438,-0.4
219,Norfolk St. (MEAC) ,33,14-19 ,495,507,-0.4
221,Florida A&M (MEAC) ,34,9-25 ,458,471,-0.4
222,Grambling (SWAC) ,31,17-14 ,465,477,-0.4
222,Iowa St. (Big 12) ,31,13-18 ,357,369,-0.4
224,Duke (ACC) ,32,26-6 ,384,398,-0.4
225,North Carolina (ACC) ,32,23-9 ,376,391,-0.5
226,Delaware (CAA) ,33,14-19 ,338,354,-0.5
227,Saint Louis (Atlantic 10) ,32,17-15 ,393,409,-0.5
228,Troy (Sun Belt) ,32,16-16 ,376,393,-0.5
229,Cal Poly (Big West) ,31,9-22 ,349,366,-0.5
229,Oregon St. (Pac-12) ,31,15-16 ,397,414,-0.5
231,Arizona (Pac-12) ,32,25-7 ,380,398,-0.6
231,Mercer (SoCon) ,32,18-14 ,379,397,-0.6
231,VCU (Atlantic 10) ,32,18-14 ,414,432,-0.6
234,Miami (OH) (MAC) ,33,16-17 ,423,442,-0.6
235,A&M-Corpus Christi (Southland) ,29,11-18 ,445,462,-0.6
236,Valparaiso (MVC) ,32,15-17 ,450,469,-0.6
237,Yale (Ivy League) ,30,16-14 ,380,398,-0.6
238,UNC Asheville (Big South) ,33,21-12 ,432,452,-0.6
239,Colorado St. (MWC) ,32,11-21 ,406,426,-0.6
240,Memphis (AAC) ,32,20-12 ,419,440,-0.7
240,Little Rock (Sun Belt) ,32,7-25 ,438,459,-0.7
242,San Diego (WCC) ,31,18-13 ,375,396,-0.7
243,UAB (C-USA) ,33,20-13 ,414,437,-0.7
244,Appalachian St. (Sun Belt) ,32,15-17 ,420,444,-0.8
245,Manhattan (MAAC) ,31,14-17 ,458,482,-0.8
246,North Texas (C-USA) ,32,15-17 ,407,432,-0.8
247,Lehigh (Patriot) ,30,16-14 ,356,380,-0.8
248,Tulsa (AAC) ,30,19-11 ,364,389,-0.8
249,Alabama (SEC) ,32,18-14 ,428,455,-0.8
249,California (Pac-12) ,32,8-24 ,443,470,-0.8
251,Belmont (OVC) ,33,24-9 ,382,410,-0.8
252,Wake Forest (ACC) ,31,11-20 ,380,407,-0.9
253,Southern U. (SWAC) ,32,15-17 ,397,425,-0.9
253,Texas Southern (SWAC) ,32,13-19 ,375,403,-0.9
255,Utah St. (MWC) ,33,17-16 ,398,427,-0.9
256,UT Martin (OVC) ,31,10-21 ,421,449,-0.9
257,Chicago St. (WAC) ,32,3-29 ,454,483,-0.9
257,Akron (MAC) ,32,14-18 ,411,440,-0.9
259,Chattanooga (SoCon) ,33,10-23 ,430,460,-0.9
259,Oakland (Horizon) ,33,19-14 ,405,435,-0.9
261,Xavier (Big East) ,32,28-4 ,370,400,-0.9
262,Pepperdine (WCC) ,32,6-26 ,344,376,-1
262,Portland (WCC) ,32,10-22 ,351,383,-1
262,Dartmouth (Ivy League) ,27,7-20 ,338,365,-1
262,UCLA (Pac-12) ,31,21-10 ,339,370,-1
266,Gardner-Webb (Big South) ,32,14-18 ,404,437,-1
267,Drexel (CAA) ,33,13-20 ,374,409,-1.1
268,CSUN (Big West) ,30,6-24 ,334,366,-1.1
268,VMI (SoCon) ,30,9-21 ,410,442,-1.1
270,UCF (AAC) ,31,19-12 ,386,420,-1.1
271,Western Ill. (Summit League) ,28,12-16 ,319,350,-1.1
272,Tulane (AAC) ,31,14-17 ,374,409,-1.1
273,Northeastern (CAA) ,33,23-10 ,412,450,-1.2
274,Alabama St. (SWAC) ,31,8-23 ,401,437,-1.2
275,Ball St. (MAC) ,32,19-13 ,384,423,-1.2
276,Dayton (Atlantic 10) ,31,14-17 ,388,426,-1.2
277,UNCW (CAA) ,32,11-21 ,374,414,-1.3
278,Cal St. Fullerton (Big West) ,29,18-11 ,381,418,-1.3
279,Alcorn (SWAC) ,32,11-21 ,419,460,-1.3
280,Harvard (Ivy League) ,29,17-12 ,369,407,-1.3
281,SIUE (OVC) ,30,9-21 ,369,409,-1.3
282,Kentucky (SEC) ,31,21-10 ,375,418,-1.4
282,Omaha (Summit League) ,31,9-22 ,366,409,-1.4
284,George Washington (Atlantic 10) ,33,15-18 ,374,421,-1.4
285,Elon (CAA) ,32,14-18 ,327,373,-1.4
286,Massachusetts (Atlantic 10) ,33,13-20 ,375,423,-1.5
287,Utah Valley (WAC) ,31,22-9 ,388,434,-1.5
288,New Hampshire (America East) ,31,10-21 ,315,362,-1.5
289,South Ala. (Sun Belt) ,32,14-18 ,430,479,-1.5
290,Long Beach St. (Big West) ,33,15-18 ,449,501,-1.6
291,William & Mary (CAA) ,31,19-12 ,332,382,-1.6
292,George Mason (Atlantic 10) ,32,16-16 ,365,417,-1.6
293,Boise St. (MWC) ,31,23-8 ,364,415,-1.6
294,Idaho St. (Big Sky) ,30,14-16 ,358,408,-1.7
295,Morehead St. (OVC) ,29,8-21 ,407,456,-1.7
296,Missouri St. (MVC) ,33,18-15 ,326,382,-1.7
297,Baylor (Big 12) ,32,18-14 ,375,432,-1.8
298,Coppin St. (MEAC) ,32,5-27 ,404,462,-1.8
299,Monmouth (MAAC) ,31,11-20 ,416,474,-1.9
300,Oral Roberts (Summit League) ,32,11-21 ,350,411,-1.9
300,Maine (America East) ,32,6-26 ,436,497,-1.9
302,UMES (MEAC) ,32,7-25 ,355,417,-1.9
303,Cornell (Ivy League) ,27,12-15 ,311,364,-2
304,Northern Ariz. (Big Sky) ,32,5-27 ,434,497,-2
304,Bethune-Cookman (MEAC) ,32,18-14 ,444,507,-2
304,Vanderbilt (SEC) ,32,12-20 ,316,379,-2
307,Charlotte (C-USA) ,29,6-23 ,370,428,-2
308,Toledo (MAC) ,32,22-10 ,305,370,-2
309,McNeese (Southland) ,28,11-17 ,334,391,-2
310,Washington St. (Pac-12) ,31,12-19 ,356,421,-2.1
311,Incarnate Word (Southland) ,28,7-21 ,385,444,-2.1
312,Quinnipiac (MAAC) ,33,12-21 ,376,446,-2.1
313,N.C. Central (MEAC) ,32,17-15 ,384,452,-2.1
314,LIU Brooklyn (NEC) ,34,18-16 ,408,481,-2.1
315,Ill.-Chicago (Horizon) ,32,17-15 ,415,484,-2.2
316,Idaho (Big Sky) ,31,22-9 ,343,411,-2.2
317,Iowa (Big Ten) ,33,14-19 ,365,441,-2.3
318,Texas A&M (SEC) ,32,20-12 ,358,434,-2.4
319,East Carolina (AAC) ,30,10-20 ,359,431,-2.4
320,North Dakota St. (Summit League) ,32,15-17 ,325,402,-2.4
321,Delaware St. (MEAC) ,32,4-28 ,410,491,-2.5
322,Coastal Caro. (Sun Belt) ,32,14-18 ,396,479,-2.6
323,UNLV (MWC) ,33,20-13 ,384,473,-2.7
324,Georgetown (Big East) ,30,15-15 ,377,458,-2.7
325,Maryland (Big Ten) ,32,19-13 ,351,438,-2.7
326,Longwood (Big South) ,33,7-26 ,419,516,-2.9
327,Lafayette (Patriot) ,31,10-21 ,318,411,-3
327,Seattle U (WAC) ,32,20-12 ,365,461,-3
327,Rice (C-USA) ,31,7-24 ,367,460,-3
327,Georgia (SEC) ,32,18-14 ,313,409,-3
331,Missouri (SEC) ,32,20-12 ,355,452,-3
332,Stanford (Pac-12) ,33,18-15 ,389,490,-3.1
333,Northwestern St. (Southland) ,29,4-25 ,403,496,-3.2
334,Michigan St. (Big Ten) ,33,29-4 ,329,435,-3.2
