Rank,Team,GM,W-L,Orebs,Drebs,REB
140,George Mason (Atlantic 10) ,31,15-16 ,300,838,1138
140,Oregon (Pac-12) ,32,21-11 ,334,804,1138
144,Kent St. (MAC) ,32,16-16 ,359,778,1137
144,Iowa St. (Big 12) ,31,13-18 ,338,799,1137
146,Saint Louis (Atlantic 10) ,31,16-15 ,369,765,1134
147,Belmont (OVC) ,33,24-9 ,258,875,1133
147,TCU (Big 12) ,31,21-10 ,354,779,1133
147,Northern Ky. (Horizon) ,31,22-9 ,296,837,1133
150,VCU (Atlantic 10) ,31,17-14 ,328,804,1132
151,Maine (America East) ,32,6-26 ,306,825,1131
151,Indiana St. (MVC) ,31,13-18 ,322,809,1131
151,Alabama St. (SWAC) ,31,8-23 ,394,737,1131
154,Penn (Ivy League) ,30,22-8 ,268,862,1130
154,Western Mich. (MAC) ,32,17-15 ,355,775,1130
154,Central Conn. St. (NEC) ,32,14-18 ,321,809,1130
157,Fort Wayne (Summit League) ,32,18-14 ,312,817,1129
157,Austin Peay (OVC) ,32,18-14 ,414,715,1129
159,Mississippi St. (SEC) ,31,21-10 ,332,796,1128
160,Ohio (MAC) ,31,14-17 ,259,867,1126
160,Saint Joseph's (Atlantic 10) ,30,15-15 ,273,853,1126
160,Winthrop (Big South) ,31,19-12 ,283,843,1126
160,Arizona (Pac-12) ,31,24-7 ,308,818,1126
160,Duquesne (Atlantic 10) ,31,16-15 ,381,745,1126
160,Alabama (SEC) ,31,17-14 ,311,815,1126
166,La Salle (Atlantic 10) ,32,13-19 ,293,831,1124
167,Creighton (Big East) ,31,21-10 ,225,897,1122
167,Marshall (C-USA) ,31,21-10 ,247,875,1122
169,Wyoming (MWC) ,32,20-12 ,224,897,1121
169,UNC Asheville (Big South) ,33,21-12 ,270,851,1121
171,Texas St. (Sun Belt) ,32,15-17 ,356,760,1116
171,Valparaiso (MVC) ,32,15-17 ,294,822,1116
171,Iona (MAAC) ,33,20-13 ,281,835,1116
174,Montana (Big Sky) ,30,23-7 ,364,751,1115
174,Monmouth (MAAC) ,31,11-20 ,276,839,1115
176,Detroit Mercy (Horizon) ,32,8-24 ,337,777,1114
177,Navy (Patriot) ,32,20-12 ,346,767,1113
178,Texas Tech (Big 12) ,31,23-8 ,341,770,1111
179,Idaho (Big Sky) ,30,22-8 ,296,814,1110
180,UNI (MVC) ,32,16-16 ,267,842,1109
181,BYU (WCC) ,34,24-10 ,232,876,1108
181,Wake Forest (ACC) ,31,11-20 ,337,771,1108
181,Denver (Summit League) ,30,15-15 ,311,797,1108
184,Mercer (SoCon) ,32,18-14 ,308,799,1107
185,Louisiana Tech (C-USA) ,32,17-15 ,303,802,1105
185,Vermont (America East) ,33,27-6 ,260,845,1105
185,Saint Mary's (CA) (WCC) ,33,28-5 ,261,844,1105
188,Alcorn (SWAC) ,32,11-21 ,305,799,1104
189,Hofstra (CAA) ,31,19-12 ,341,762,1103
190,Providence (Big East) ,31,19-12 ,328,774,1102
190,Northern Ill. (MAC) ,32,13-19 ,315,787,1102
192,Western Caro. (SoCon) ,32,13-19 ,371,730,1101
192,North Dakota St. (Summit League) ,32,15-17 ,232,869,1101
194,Kansas (Big 12) ,31,24-7 ,300,800,1100
195,California (Pac-12) ,31,8-23 ,408,691,1099
195,Stetson (ASUN) ,32,12-20 ,293,806,1099
195,South Carolina St. (MEAC) ,32,10-22 ,366,733,1099
195,Indiana (Big Ten) ,31,16-15 ,345,754,1099
199,Florida (SEC) ,31,20-11 ,337,759,1096
199,San Diego St. (MWC) ,29,19-10 ,329,767,1096
201,Western Ky. (C-USA) ,31,22-9 ,294,801,1095
201,Villanova (Big East) ,31,27-4 ,282,813,1095
201,SFA (Southland) ,31,25-6 ,354,741,1095
201,UC Santa Barbara (Big West) ,30,22-8 ,299,796,1095
205,Florida A&M (MEAC) ,34,9-25 ,348,746,1094
206,McNeese (Southland) ,28,11-17 ,326,766,1092
206,Arizona St. (Pac-12) ,31,20-11 ,307,785,1092
208,Middle Tenn. (C-USA) ,30,24-6 ,327,762,1089
208,Col. of Charleston (CAA) ,33,26-7 ,280,809,1089
210,UT Martin (OVC) ,31,10-21 ,308,779,1087
210,Little Rock (Sun Belt) ,32,7-25 ,322,765,1087
212,Pacific (WCC) ,32,14-18 ,332,754,1086
212,George Washington (Atlantic 10) ,32,15-17 ,336,750,1086
214,Arkansas (SEC) ,31,21-10 ,313,771,1084
214,Georgia Tech (ACC) ,32,13-19 ,334,750,1084
216,Northeastern (CAA) ,33,23-10 ,258,825,1083
