Rank,Team,GM,W-L,FTM,FTA,FT%
174,St. Francis Brooklyn (NEC) ,31,13-18 ,421,591,71.2
175,TCU (Big 12) ,31,21-10 ,458,643,71.2
176,San Diego (WCC) ,31,18-13 ,460,646,71.2
177,Canisius (MAAC) ,32,21-11 ,388,545,71.2
178,Ohio (MAC) ,31,14-17 ,412,579,71.2
179,Grambling (SWAC) ,31,17-14 ,547,769,71.1
180,George Washington (Atlantic 10) ,32,15-17 ,372,523,71.1
181,Elon (CAA) ,32,14-18 ,325,457,71.1
182,Monmouth (MAAC) ,31,11-20 ,539,758,71.1
183,Oregon St. (Pac-12) ,30,15-15 ,460,647,71.1
184,Chattanooga (SoCon) ,33,10-23 ,445,626,71.1
185,Wagner (NEC) ,32,23-9 ,490,690,71
185,Fairfield (MAAC) ,33,17-16 ,441,621,71
187,Loyola Marymount (WCC) ,31,11-20 ,421,593,71
188,ETSU (SoCon) ,34,25-9 ,460,648,71
189,Virginia Tech (ACC) ,32,21-11 ,469,661,71
190,Sam Houston St. (Southland) ,31,18-13 ,427,602,70.9
191,UMKC (WAC) ,31,10-21 ,436,615,70.9
192,UMass Lowell (America East) ,30,12-18 ,489,690,70.9
193,CSUN (Big West) ,30,6-24 ,335,473,70.8
194,DePaul (Big East) ,31,11-20 ,398,562,70.8
195,Fordham (Atlantic 10) ,31,9-22 ,320,452,70.8
196,Howard (MEAC) ,33,10-23 ,487,688,70.8
197,Valparaiso (MVC) ,32,15-17 ,477,674,70.8
198,Alcorn (SWAC) ,32,11-21 ,423,598,70.7
199,Texas Tech (Big 12) ,31,23-8 ,502,710,70.7
200,Montana (Big Sky) ,30,23-7 ,492,696,70.7
200,SIUE (OVC) ,30,9-21 ,410,580,70.7
202,Bradley (MVC) ,33,20-13 ,470,665,70.7
203,Princeton (Ivy League) ,29,13-16 ,313,443,70.7
204,Omaha (Summit League) ,31,9-22 ,365,517,70.6
205,McNeese (Southland) ,28,11-17 ,401,568,70.6
206,Quinnipiac (MAAC) ,33,12-21 ,487,690,70.6
207,The Citadel (SoCon) ,32,11-21 ,475,673,70.6
208,North Dakota (Big Sky) ,31,12-19 ,457,648,70.5
209,Duke (ACC) ,31,25-6 ,478,678,70.5
210,Bryant (NEC) ,31,3-28 ,368,522,70.5
