Rank,Team,GM,W-L,3FG,3FGA,3FG%
248,Incarnate Word (Southland) ,28,7-21 ,166,493,33.7
249,UMKC (WAC) ,31,10-21 ,277,823,33.7
250,Yale (Ivy League) ,30,16-14 ,247,734,33.7
251,Oregon St. (Pac-12) ,30,15-15 ,182,541,33.6
252,UTEP (C-USA) ,31,11-20 ,224,666,33.6
253,Jacksonville (ASUN) ,33,15-18 ,202,601,33.6
254,Wisconsin (Big Ten) ,33,15-18 ,216,644,33.5
255,George Mason (Atlantic 10) ,31,15-16 ,222,662,33.5
256,Tennessee St. (OVC) ,30,15-15 ,223,665,33.5
257,Southern Miss. (C-USA) ,32,15-17 ,233,695,33.5
258,UNLV (MWC) ,32,20-12 ,178,531,33.5
259,San Francisco (WCC) ,33,18-15 ,272,812,33.5
260,UNI (MVC) ,32,16-16 ,229,684,33.5
261,Illinois (Big Ten) ,32,14-18 ,236,705,33.5
262,South Carolina St. (MEAC) ,32,10-22 ,205,614,33.4
263,Milwaukee (Horizon) ,33,16-17 ,235,704,33.4
264,Western Caro. (SoCon) ,32,13-19 ,234,703,33.3
265,St. John's (NY) (Big East) ,32,16-16 ,226,679,33.3
266,Texas St. (Sun Belt) ,32,15-17 ,211,634,33.3
267,James Madison (CAA) ,32,10-22 ,231,695,33.2
268,Robert Morris (NEC) ,33,16-17 ,242,729,33.2
269,Eastern Mich. (MAC) ,31,20-11 ,198,597,33.2
270,Montana (Big Sky) ,30,23-7 ,165,498,33.1
271,Lipscomb (ASUN) ,32,23-9 ,260,785,33.1
272,Abilene Christian (Southland) ,31,16-15 ,207,625,33.1
273,Navy (Patriot) ,32,20-12 ,206,622,33.1
273,Ark.-Pine Bluff (SWAC) ,32,13-20 ,206,622,33.1
275,Air Force (MWC) ,31,12-19 ,250,755,33.1
276,Hawaii (Big West) ,29,17-12 ,196,592,33.1
277,Missouri St. (MVC) ,33,18-15 ,234,707,33.1
278,Coastal Caro. (Sun Belt) ,32,14-18 ,218,660,33
279,Northern Ill. (MAC) ,32,13-19 ,169,512,33
280,Youngstown St. (Horizon) ,32,8-24 ,235,712,33
281,Charleston So. (Big South) ,31,15-16 ,208,631,33
282,Saint Joseph's (Atlantic 10) ,30,15-15 ,237,719,33
283,La Salle (Atlantic 10) ,32,13-19 ,234,710,33
284,Central Conn. St. (NEC) ,32,14-18 ,198,601,32.9
285,Prairie View (SWAC) ,33,16-17 ,241,732,32.9
286,Grand Canyon (WAC) ,30,20-10 ,231,702,32.9
287,Pacific (WCC) ,32,14-18 ,151,459,32.9
288,Colorado St. (MWC) ,32,11-21 ,225,684,32.9
289,Stony Brook (America East) ,32,13-19 ,249,757,32.9
290,Delaware (CAA) ,33,14-19 ,192,584,32.9
291,Texas A&M (SEC) ,31,20-11 ,205,624,32.9
292,UConn (AAC) ,31,14-17 ,211,643,32.8
293,Grambling (SWAC) ,31,17-14 ,154,470,32.8
294,Alabama St. (SWAC) ,31,8-23 ,209,638,32.8
295,Longwood (Big South) ,33,7-26 ,226,690,32.8
296,Richmond (Atlantic 10) ,30,11-19 ,201,614,32.7
297,Jacksonville St. (OVC) ,33,21-12 ,191,584,32.7
298,Sam Houston St. (Southland) ,31,18-13 ,215,659,32.6
