Rank,Team,GM,W-L,Orebs,RPG
199,FIU (C-USA) ,32,14-18 ,319,9.97
200,Eastern Mich. (MAC) ,31,20-11 ,309,9.97
201,UC Santa Barbara (Big West) ,30,22-8 ,299,9.97
202,Miami (OH) (MAC) ,32,16-16 ,318,9.94
203,Arizona (Pac-12) ,31,24-7 ,308,9.94
203,UT Martin (OVC) ,31,10-21 ,308,9.94
203,Washington (Pac-12) ,31,20-11 ,308,9.94
206,Oakland (Horizon) ,33,19-14 ,327,9.91
207,Arizona St. (Pac-12) ,31,20-11 ,307,9.9
208,Miami (FL) (ACC) ,30,22-8 ,297,9.9
208,Boise St. (MWC) ,30,23-7 ,297,9.9
210,Northern Colo. (Big Sky) ,32,21-11 ,316,9.88
211,Idaho (Big Sky) ,30,22-8 ,296,9.87
212,Northern Ill. (MAC) ,32,13-19 ,315,9.84
213,Ball St. (MAC) ,31,19-12 ,303,9.77
214,Vanderbilt (SEC) ,32,12-20 ,312,9.75
214,Fort Wayne (Summit League) ,32,18-14 ,312,9.75
216,Xavier (Big East) ,31,27-4 ,302,9.74
216,Air Force (MWC) ,31,12-19 ,302,9.74
218,Ohio St. (Big Ten) ,32,24-8 ,311,9.72
219,Boston U. (Patriot) ,31,15-16 ,301,9.71
220,Kansas (Big 12) ,31,24-7 ,300,9.68
220,George Mason (Atlantic 10) ,31,15-16 ,300,9.68
220,South Fla. (AAC) ,31,10-21 ,300,9.68
223,East Carolina (AAC) ,29,10-19 ,280,9.66
224,LSU (SEC) ,30,17-13 ,289,9.63
225,Troy (Sun Belt) ,32,16-16 ,308,9.63
225,Mercer (SoCon) ,32,18-14 ,308,9.63
227,Furman (SoCon) ,33,23-10 ,317,9.61
227,Illinois St. (MVC) ,33,18-15 ,317,9.61
229,Eastern Ky. (OVC) ,31,11-20 ,297,9.58
230,Maine (America East) ,32,6-26 ,306,9.56
231,Northern Ky. (Horizon) ,31,22-9 ,296,9.55
232,VMI (SoCon) ,30,9-21 ,286,9.53
233,Maryland (Big Ten) ,32,19-13 ,305,9.53
233,Alcorn (SWAC) ,32,11-21 ,305,9.53
235,Delaware (CAA) ,33,14-19 ,314,9.52
236,UCF (AAC) ,30,18-12 ,285,9.5
237,Western Ky. (C-USA) ,31,22-9 ,294,9.48
238,Louisiana Tech (C-USA) ,32,17-15 ,303,9.47
