Rank,Team,GM,W-L,ST
270,South Dakota St. (Summit League) ,34,28-6 ,169
270,Idaho St. (Big Sky) ,30,14-16 ,169
270,Alabama St. (SWAC) ,31,8-23 ,169
270,Hawaii (Big West) ,30,17-13 ,169
270,Hampton (MEAC) ,32,18-14 ,169
270,South Carolina St. (MEAC) ,32,10-22 ,169
278,Eastern Wash. (Big Sky) ,32,19-13 ,168
278,Santa Clara (WCC) ,31,11-20 ,168
280,UCF (AAC) ,31,19-12 ,167
281,UNI (MVC) ,32,16-16 ,166
281,Utah St. (MWC) ,33,17-16 ,166
281,Chattanooga (SoCon) ,33,10-23 ,166
281,Rice (C-USA) ,31,7-24 ,166
285,Portland (WCC) ,32,10-22 ,165
285,San Diego (WCC) ,31,18-13 ,165
285,N.C. Central (MEAC) ,32,17-15 ,165
285,Morehead St. (OVC) ,29,8-21 ,165
285,Charlotte (C-USA) ,29,6-23 ,165
285,Missouri (SEC) ,32,20-12 ,165
291,Southern Utah (Big Sky) ,31,13-18 ,164
291,Delaware (CAA) ,33,14-19 ,164
291,Georgetown (Big East) ,30,15-15 ,164
291,UNCW (CAA) ,32,11-21 ,164
291,Washington St. (Pac-12) ,31,12-19 ,164
296,South Fla. (AAC) ,32,10-22 ,163
297,Dayton (Atlantic 10) ,31,14-17 ,162
298,Belmont (OVC) ,33,24-9 ,161
298,Weber St. (Big Sky) ,31,20-11 ,161
298,Central Conn. St. (NEC) ,32,14-18 ,161
298,Arizona (Pac-12) ,32,25-7 ,161
298,Niagara (MAAC) ,32,19-13 ,161
303,Little Rock (Sun Belt) ,32,7-25 ,159
303,Massachusetts (Atlantic 10) ,33,13-20 ,159
305,Utah (Pac-12) ,30,19-11 ,158
305,Troy (Sun Belt) ,32,16-16 ,158
307,Northwestern (Big Ten) ,32,15-17 ,156
307,Seattle U (WAC) ,32,20-12 ,156
307,Hofstra (CAA) ,31,19-12 ,156
307,Harvard (Ivy League) ,29,17-12 ,156
307,North Texas (C-USA) ,32,15-17 ,156
312,Tulane (AAC) ,31,14-17 ,155
312,Pepperdine (WCC) ,32,6-26 ,155
314,Cal Poly (Big West) ,31,9-22 ,154
