Rank,Team,GM,W-L,BLKS,BKPG
270,USC Upstate (ASUN) ,32,7-25 ,86,2.7
271,Omaha (Summit League) ,31,9-22 ,83,2.7
271,Hofstra (CAA) ,31,19-12 ,83,2.7
273,Idaho (Big Sky) ,30,22-8 ,80,2.7
274,Alcorn (SWAC) ,32,11-21 ,85,2.7
275,St. Francis Brooklyn (NEC) ,31,13-18 ,82,2.6
276,Vermont (America East) ,33,27-6 ,87,2.6
277,Quinnipiac (MAAC) ,33,12-21 ,86,2.6
277,Wofford (SoCon) ,33,21-12 ,86,2.6
279,Miami (OH) (MAC) ,32,16-16 ,83,2.6
279,Delaware St. (MEAC) ,32,4-28 ,83,2.6
281,UMKC (WAC) ,31,10-21 ,80,2.6
281,Akron (MAC) ,31,14-17 ,80,2.6
283,Cleveland St. (Horizon) ,35,12-23 ,90,2.6
284,Coppin St. (MEAC) ,32,5-27 ,82,2.6
284,Bowling Green (MAC) ,32,16-16 ,82,2.6
286,Chicago St. (WAC) ,31,3-28 ,79,2.5
287,Dayton (Atlantic 10) ,30,14-16 ,76,2.5
287,Richmond (Atlantic 10) ,30,11-19 ,76,2.5
289,Creighton (Big East) ,31,21-10 ,78,2.5
290,UNI (MVC) ,32,16-16 ,80,2.5
290,Air Force (MWC) ,30,12-18 ,75,2.5
292,Northeastern (CAA) ,33,23-10 ,82,2.5
292,Belmont (OVC) ,33,24-9 ,82,2.5
292,UMBC (America East) ,33,23-10 ,82,2.5
292,Loyola Chicago (MVC) ,33,28-5 ,82,2.5
296,Marist (MAAC) ,31,6-25 ,77,2.5
297,Liberty (Big South) ,34,20-14 ,84,2.5
298,Drake (MVC) ,32,16-16 ,79,2.5
299,CSUN (Big West) ,30,6-24 ,74,2.5
300,Fordham (Atlantic 10) ,30,9-21 ,73,2.4
301,Denver (Summit League) ,30,15-15 ,72,2.4
301,Idaho St. (Big Sky) ,30,14-16 ,72,2.4
303,South Fla. (AAC) ,31,10-21 ,74,2.4
304,N.C. A&T (MEAC) ,32,19-13 ,76,2.4
304,South Carolina St. (MEAC) ,32,10-22 ,76,2.4
304,Samford (SoCon) ,32,10-22 ,76,2.4
304,North Dakota St. (Summit League) ,32,15-17 ,76,2.4
308,UC Davis (Big West) ,30,21-9 ,71,2.4
309,Lamar University (Southland) ,31,19-12 ,73,2.4
309,Monmouth (MAAC) ,31,11-20 ,73,2.4
309,Santa Clara (WCC) ,31,11-20 ,73,2.4
312,San Jose St. (MWC) ,29,4-25 ,68,2.3
313,Loyola Marymount (WCC) ,31,11-20 ,72,2.3
313,Sacred Heart (NEC) ,31,10-21 ,72,2.3
313,Virginia Tech (ACC) ,31,21-10 ,72,2.3
316,Saint Francis (PA) (NEC) ,30,18-12 ,69,2.3
316,Washington St. (Pac-12) ,30,12-18 ,69,2.3
318,South Dakota St. (Summit League) ,34,28-6 ,78,2.3
319,Delaware (CAA) ,33,14-19 ,75,2.3
320,Boise St. (MWC) ,30,23-7 ,68,2.3
321,Charlotte (C-USA) ,29,6-23 ,65,2.2
322,Tulsa (AAC) ,30,19-11 ,67,2.2
323,Wright St. (Horizon) ,34,25-9 ,75,2.2
324,Middle Tenn. (C-USA) ,30,24-6 ,66,2.2
325,Furman (SoCon) ,33,23-10 ,72,2.2
326,Illinois (Big Ten) ,32,14-18 ,69,2.2
326,Pepperdine (WCC) ,32,6-26 ,69,2.2
328,Rice (C-USA) ,31,7-24 ,66,2.1
329,Utah St. (MWC) ,31,15-16 ,65,2.1
330,UNCW (CAA) ,32,11-21 ,67,2.1
331,Chattanooga (SoCon) ,33,10-23 ,69,2.1
332,Montana St. (Big Sky) ,32,13-19 ,66,2.1
332,Elon (CAA) ,32,14-18 ,66,2.1
334,Davidson (Atlantic 10) ,29,18-11 ,58,2
335,Presbyterian (Big South) ,32,11-21 ,63,2
336,Hawaii (Big West) ,29,17-12 ,56,1.9
337,South Dakota (Summit League) ,34,26-8 ,65,1.9
338,North Dakota (Big Sky) ,31,12-19 ,58,1.9
339,Sam Houston St. (Southland) ,31,18-13 ,57,1.8
340,Northern Ill. (MAC) ,32,13-19 ,58,1.8
341,New Hampshire (America East) ,31,10-21 ,56,1.8
342,UMES (MEAC) ,32,7-25 ,57,1.8
343,Lehigh (Patriot) ,30,16-14 ,53,1.8
344,Mississippi Val. (SWAC) ,32,4-28 ,56,1.8
345,Southeast Mo. St. (OVC) ,31,14-17 ,54,1.7
346,Southern Miss. (C-USA) ,31,14-17 ,52,1.7
347,Mercer (SoCon) ,32,18-14 ,53,1.7
348,Alabama A&M (SWAC) ,31,3-28 ,49,1.6
349,Bryant (NEC) ,31,3-28 ,43,1.4
350,La.-Monroe (Sun Belt) ,29,15-14 ,39,1.3
351,Navy (Patriot) ,32,20-12 ,41,1.3
