Rank,Name,GM,W-L,Drebs,RPG
89,Florida St. (ACC) ,30,20-10 ,795,26.5
90,Grambling (SWAC) ,31,17-14 ,821,26.48
91,Baylor (Big 12) ,31,18-13 ,820,26.45
92,San Diego St. (MWC) ,29,19-10 ,767,26.45
93,Arizona (Pac-12) ,31,24-7 ,818,26.39
94,Maryland (Big Ten) ,32,19-13 ,844,26.38
95,Southern U. (SWAC) ,32,15-17 ,843,26.34
96,Rider (MAAC) ,31,22-9 ,816,26.32
97,UNI (MVC) ,32,16-16 ,842,26.31
97,Gardner-Webb (Big South) ,32,14-18 ,842,26.31
99,Alabama (SEC) ,31,17-14 ,815,26.29
99,Lafayette (Patriot) ,31,10-21 ,815,26.29
101,Iowa (Big Ten) ,33,14-19 ,867,26.27
102,Nicholls St. (Southland) ,31,21-10 ,814,26.26
103,Davidson (Atlantic 10) ,29,18-11 ,761,26.24
104,N.C. Central (MEAC) ,31,16-15 ,813,26.23
104,Villanova (Big East) ,31,27-4 ,813,26.23
104,North Texas (C-USA) ,31,15-16 ,813,26.23
104,Rice (C-USA) ,31,7-24 ,813,26.23
108,Cornell (Ivy League) ,27,12-15 ,708,26.22
109,Old Dominion (C-USA) ,30,24-6 ,786,26.2
110,Central Ark. (Southland) ,31,16-15 ,812,26.19
111,Liberty (Big South) ,34,20-14 ,890,26.18
112,Norfolk St. (MEAC) ,32,14-18 ,837,26.16
113,Wright St. (Horizon) ,34,25-9 ,889,26.15
114,Auburn (SEC) ,31,25-6 ,810,26.13
115,Indiana St. (MVC) ,31,13-18 ,809,26.1
115,La Salle (Atlantic 10) ,31,13-18 ,809,26.1
117,William & Mary (CAA) ,31,19-12 ,808,26.06
117,UTRGV (WAC) ,31,15-16 ,808,26.06
119,Harvard (Ivy League) ,29,17-12 ,755,26.03
120,Marist (MAAC) ,31,6-25 ,807,26.03
121,Loyola Chicago (MVC) ,33,28-5 ,858,26
121,Seton Hall (Big East) ,31,21-10 ,806,26
123,Cincinnati (AAC) ,31,27-4 ,805,25.97
124,Utah (Pac-12) ,29,19-10 ,753,25.97
125,VCU (Atlantic 10) ,31,17-14 ,804,25.94
125,FIU (C-USA) ,31,14-17 ,804,25.94
127,Cal St. Fullerton (Big West) ,28,17-11 ,726,25.93
128,Milwaukee (Horizon) ,33,16-17 ,855,25.91
129,Illinois St. (MVC) ,33,18-15 ,854,25.88
130,Colorado St. (MWC) ,31,11-20 ,801,25.84
130,Western Ky. (C-USA) ,31,22-9 ,801,25.84
132,Fairfield (MAAC) ,33,17-16 ,852,25.82
133,Kansas (Big 12) ,31,24-7 ,800,25.81
134,Iowa St. (Big 12) ,30,13-17 ,774,25.8
135,UNC Asheville (Big South) ,33,21-12 ,851,25.79
136,Wagner (NEC) ,32,23-9 ,825,25.78
136,Maine (America East) ,32,6-26 ,825,25.78
138,BYU (WCC) ,34,24-10 ,876,25.76
139,Jacksonville (ASUN) ,33,15-18 ,850,25.76
140,Notre Dame (ACC) ,31,18-13 ,798,25.74
141,Texas Southern (SWAC) ,32,13-19 ,823,25.72
142,Army West Point (Patriot) ,30,13-17 ,771,25.7
142,Southern Utah (Big Sky) ,30,12-18 ,771,25.7
144,Valparaiso (MVC) ,32,15-17 ,822,25.69
144,Towson (CAA) ,32,18-14 ,822,25.69
146,Mississippi St. (SEC) ,31,21-10 ,796,25.68
147,North Florida (ASUN) ,33,14-19 ,847,25.67
148,Virginia Tech (ACC) ,31,21-10 ,795,25.65
149,Ga. Southern (Sun Belt) ,31,20-11 ,794,25.61
150,Vermont (America East) ,33,27-6 ,845,25.61
151,N.C. A&T (MEAC) ,32,19-13 ,819,25.59
152,Saint Mary's (CA) (WCC) ,33,28-5 ,844,25.58
153,UCF (AAC) ,30,18-12 ,767,25.57
154,Rutgers (Big Ten) ,34,15-19 ,869,25.56
155,Ole Miss (SEC) ,31,12-19 ,792,25.55
156,Arizona St. (Pac-12) ,30,20-10 ,766,25.53
157,Fort Wayne (Summit League) ,32,18-14 ,817,25.53
158,Texas (Big 12) ,31,18-13 ,791,25.52
159,Drake (MVC) ,32,16-16 ,816,25.5
159,Nebraska (Big Ten) ,32,22-10 ,816,25.5
159,St. Bonaventure (Atlantic 10) ,30,24-6 ,765,25.5
162,Syracuse (ACC) ,32,20-12 ,815,25.47
163,Furman (SoCon) ,33,23-10 ,840,25.45
164,Albany (NY) (America East) ,32,22-10 ,814,25.44
165,Middle Tenn. (C-USA) ,30,24-6 ,762,25.4
166,Campbell (Big South) ,31,16-15 ,787,25.39
167,Evansville (MVC) ,32,17-15 ,812,25.38
168,Columbia (Ivy League) ,27,8-19 ,685,25.37
169,San Diego (WCC) ,31,18-13 ,786,25.35
170,Tennessee Tech (OVC) ,33,19-14 ,836,25.33
170,Delaware (CAA) ,33,14-19 ,836,25.33
172,Montana St. (Big Sky) ,32,13-19 ,810,25.31
173,Iona (MAAC) ,33,20-13 ,835,25.3
174,Sam Houston St. (Southland) ,31,18-13 ,784,25.29
175,Portland (WCC) ,32,10-22 ,809,25.28
175,Central Conn. St. (NEC) ,32,14-18 ,809,25.28
177,Idaho St. (Big Sky) ,30,14-16 ,758,25.27
178,Binghamton (America East) ,31,11-20 ,783,25.26
179,The Citadel (SoCon) ,32,11-21 ,808,25.25
179,Coppin St. (MEAC) ,32,5-27 ,808,25.25
181,Yale (Ivy League) ,30,16-14 ,757,25.23
182,UNCG (SoCon) ,34,27-7 ,857,25.21
183,DePaul (Big East) ,30,11-19 ,756,25.2
184,Stetson (ASUN) ,32,12-20 ,806,25.19
184,Hartford (America East) ,32,19-13 ,806,25.19
186,Oregon (Pac-12) ,31,20-11 ,780,25.16
187,Central Mich. (MAC) ,32,19-13 ,805,25.16
188,UT Martin (OVC) ,31,10-21 ,779,25.13
188,TCU (Big 12) ,31,21-10 ,779,25.13
190,UC Riverside (Big West) ,30,9-21 ,753,25.1
191,Drexel (CAA) ,33,13-20 ,828,25.09
192,Brown (Ivy League) ,27,11-16 ,677,25.07
193,Butler (Big East) ,31,19-12 ,777,25.06
194,Montana (Big Sky) ,30,23-7 ,751,25.03
195,Georgia St. (Sun Belt) ,31,21-10 ,776,25.03
195,Louisiana Tech (C-USA) ,31,16-15 ,776,25.03
197,UMBC (America East) ,33,23-10 ,825,25
197,Saint Francis (PA) (NEC) ,30,18-12 ,750,25
197,Princeton (Ivy League) ,29,13-16 ,725,25
197,Northeastern (CAA) ,33,23-10 ,825,25
201,Mercer (SoCon) ,32,18-14 ,799,24.97
201,Alcorn (SWAC) ,32,11-21 ,799,24.97
203,Providence (Big East) ,31,19-12 ,774,24.97
204,A&M-Corpus Christi (Southland) ,28,11-17 ,699,24.96
205,Tulane (AAC) ,30,14-16 ,747,24.9
206,Incarnate Word (Southland) ,28,7-21 ,697,24.89
207,Wake Forest (ACC) ,31,11-20 ,771,24.87
207,Arkansas (SEC) ,31,21-10 ,771,24.87
209,Penn St. (Big Ten) ,34,21-13 ,845,24.85
210,Bradley (MVC) ,33,20-13 ,820,24.85
211,Savannah St. (MEAC) ,31,15-16 ,770,24.84
211,Lamar University (Southland) ,31,19-12 ,770,24.84
211,Texas Tech (Big 12) ,31,23-8 ,770,24.84
214,Charlotte (C-USA) ,29,6-23 ,720,24.83
215,Tennessee (SEC) ,30,23-7 ,744,24.8
216,St. John's (NY) (Big East) ,31,15-16 ,768,24.77
217,VMI (SoCon) ,30,9-21 ,743,24.77
218,Siena (MAAC) ,32,8-24 ,792,24.75
219,Michigan (Big Ten) ,35,28-7 ,866,24.74
220,Fresno St. (MWC) ,31,21-10 ,767,24.74
221,Miami (FL) (ACC) ,30,22-8 ,742,24.73
222,Long Beach St. (Big West) ,32,15-17 ,790,24.69
223,Saint Louis (Atlantic 10) ,31,16-15 ,765,24.68
224,Eastern Mich. (MAC) ,31,20-11 ,764,24.65
225,Quinnipiac (MAAC) ,33,12-21 ,812,24.61
226,Northern Ill. (MAC) ,32,13-19 ,787,24.59
227,Hofstra (CAA) ,31,19-12 ,762,24.58
228,James Madison (CAA) ,32,10-22 ,786,24.56
229,Utah St. (MWC) ,31,15-16 ,761,24.55
229,Omaha (Summit League) ,31,9-22 ,761,24.55
231,Stony Brook (America East) ,32,13-19 ,785,24.53
232,Col. of Charleston (CAA) ,33,26-7 ,809,24.52
233,Florida (SEC) ,31,20-11 ,759,24.48
234,CSU Bakersfield (WAC) ,29,12-17 ,710,24.48
235,Southern California (Pac-12) ,31,21-10 ,758,24.45
236,Oral Roberts (Summit League) ,32,11-21 ,782,24.44
237,Longwood (Big South) ,33,7-26 ,806,24.42
237,San Francisco (WCC) ,33,18-15 ,806,24.42
239,South Carolina (SEC) ,31,16-15 ,757,24.42
239,Abilene Christian (Southland) ,31,16-15 ,757,24.42
241,NJIT (ASUN) ,30,14-16 ,732,24.4
242,Wofford (SoCon) ,33,21-12 ,804,24.36
243,Oklahoma St. (Big 12) ,31,18-13 ,755,24.35
244,East Carolina (AAC) ,29,10-19 ,706,24.34
245,Indiana (Big Ten) ,31,16-15 ,754,24.32
246,Kent St. (MAC) ,32,16-16 ,778,24.31
