Rank,Team,GM,W-L,AST
170,Wagner (NEC) ,32,23-9 ,430
171,Milwaukee (Horizon) ,33,16-17 ,429
171,LIU Brooklyn (NEC) ,34,18-16 ,429
171,George Washington (Atlantic 10) ,32,15-17 ,429
171,Prairie View (SWAC) ,33,16-17 ,429
175,Troy (Sun Belt) ,32,16-16 ,428
175,LSU (SEC) ,30,17-13 ,428
175,Lehigh (Patriot) ,30,16-14 ,428
178,Western Caro. (SoCon) ,32,13-19 ,427
178,Stony Brook (America East) ,32,13-19 ,427
180,Central Mich. (MAC) ,32,19-13 ,426
180,San Diego (WCC) ,31,18-13 ,426
182,Western Ky. (C-USA) ,31,22-9 ,425
182,Missouri (SEC) ,31,20-11 ,425
182,Weber St. (Big Sky) ,30,20-10 ,425
182,Missouri St. (MVC) ,33,18-15 ,425
182,Bowling Green (MAC) ,32,16-16 ,425
182,La.-Monroe (Sun Belt) ,30,16-14 ,425
188,Middle Tenn. (C-USA) ,30,24-6 ,424
189,Iowa St. (Big 12) ,31,13-18 ,423
189,Southeast Mo. St. (OVC) ,31,14-17 ,423
191,North Dakota St. (Summit League) ,32,15-17 ,422
191,St. Bonaventure (Atlantic 10) ,30,24-6 ,422
193,Stanford (Pac-12) ,31,17-14 ,421
193,Chattanooga (SoCon) ,33,10-23 ,421
193,Holy Cross (Patriot) ,31,12-19 ,421
193,Austin Peay (OVC) ,32,18-14 ,421
197,Sacramento St. (Big Sky) ,32,7-25 ,420
197,Boston U. (Patriot) ,31,15-16 ,420
199,Alcorn (SWAC) ,32,11-21 ,419
199,Fordham (Atlantic 10) ,31,9-22 ,419
201,Colgate (Patriot) ,32,19-13 ,418
201,Coastal Caro. (Sun Belt) ,32,14-18 ,418
203,NJIT (ASUN) ,30,14-16 ,417
203,Bryant (NEC) ,31,3-28 ,417
203,Evansville (MVC) ,32,17-15 ,417
203,Saint Joseph's (Atlantic 10) ,30,15-15 ,417
207,St. John's (NY) (Big East) ,32,16-16 ,416
207,Hartford (America East) ,32,19-13 ,416
207,Fairleigh Dickinson (NEC) ,31,13-18 ,416
210,Gardner-Webb (Big South) ,32,14-18 ,415
210,Radford (Big South) ,34,22-12 ,415
210,Jacksonville (ASUN) ,33,15-18 ,415
213,Hofstra (CAA) ,31,19-12 ,413
213,Kentucky (SEC) ,31,21-10 ,413
215,Mississippi St. (SEC) ,31,21-10 ,412
215,Georgia St. (Sun Belt) ,31,21-10 ,412
217,Long Beach St. (Big West) ,32,15-17 ,411
217,Wisconsin (Big Ten) ,33,15-18 ,411
219,South Carolina (SEC) ,32,17-15 ,410
219,La Salle (Atlantic 10) ,32,13-19 ,410
221,Georgia Tech (ACC) ,32,13-19 ,409
221,Colorado St. (MWC) ,32,11-21 ,409
221,Fresno St. (MWC) ,31,21-10 ,409
