Rank,Team,GM,W-L,AST,TO,Ratio
233,Nicholls St. (Southland) ,31,21-10 ,466,474,0.98
234,Wagner (NEC) ,32,23-9 ,430,438,0.98
235,North Dakota (Big Sky) ,31,12-19 ,399,408,0.98
236,Fairleigh Dickinson (NEC) ,31,13-18 ,416,426,0.98
237,Seattle U (WAC) ,31,19-12 ,433,446,0.97
238,Presbyterian (Big South) ,32,11-21 ,368,380,0.97
239,Evansville (MVC) ,32,17-15 ,417,431,0.97
240,Youngstown St. (Horizon) ,32,8-24 ,445,460,0.97
241,Prairie View (SWAC) ,33,16-17 ,429,445,0.96
242,New Orleans (Southland) ,29,14-15 ,428,445,0.96
243,Jackson St. (SWAC) ,31,12-20 ,338,352,0.96
244,Northern Colo. (Big Sky) ,32,21-11 ,379,395,0.96
245,Texas (Big 12) ,31,18-13 ,358,374,0.96
246,Colorado St. (MWC) ,31,11-20 ,400,418,0.96
247,Memphis (AAC) ,31,19-12 ,407,426,0.96
248,Missouri (SEC) ,31,20-11 ,425,445,0.96
249,Stony Brook (America East) ,32,13-19 ,427,448,0.95
250,Akron (MAC) ,31,14-17 ,404,425,0.95
251,Gardner-Webb (Big South) ,32,14-18 ,415,437,0.95
252,Georgia (SEC) ,30,16-14 ,376,396,0.95
253,UC Davis (Big West) ,30,21-9 ,373,393,0.95
254,UNI (MVC) ,32,16-16 ,345,364,0.95
255,Texas Southern (SWAC) ,32,13-19 ,380,403,0.94
256,High Point (Big South) ,30,14-16 ,353,375,0.94
257,Towson (CAA) ,32,18-14 ,381,405,0.94
258,Eastern Ill. (OVC) ,31,12-19 ,392,417,0.94
259,Lafayette (Patriot) ,31,10-21 ,386,411,0.94
260,Saint Louis (Atlantic 10) ,31,16-15 ,374,399,0.94
261,South Carolina (SEC) ,31,16-15 ,393,422,0.93
262,Fla. Atlantic (C-USA) ,30,12-18 ,357,384,0.93
263,Drexel (CAA) ,33,13-20 ,380,409,0.93
264,Brown (Ivy League) ,27,11-16 ,338,364,0.93
265,Harvard (Ivy League) ,29,17-12 ,377,407,0.93
266,East Carolina (AAC) ,29,10-19 ,380,411,0.92
267,CSU Bakersfield (WAC) ,29,12-17 ,375,406,0.92
268,Southern Utah (Big Sky) ,30,12-18 ,352,382,0.92
269,Austin Peay (OVC) ,32,18-14 ,421,457,0.92
270,Howard (MEAC) ,33,10-23 ,407,442,0.92
271,SFA (Southland) ,31,25-6 ,448,487,0.92
272,North Texas (C-USA) ,31,15-16 ,387,421,0.92
273,St. Francis Brooklyn (NEC) ,31,13-18 ,357,390,0.92
274,Stanford (Pac-12) ,31,17-14 ,421,460,0.92
274,Chattanooga (SoCon) ,33,10-23 ,421,460,0.92
276,SIUE (OVC) ,30,9-21 ,373,409,0.91
277,Alcorn (SWAC) ,32,11-21 ,419,460,0.91
278,UC Riverside (Big West) ,30,9-21 ,378,417,0.91
279,Quinnipiac (MAAC) ,33,12-21 ,404,446,0.91
280,Saint Peter's (MAAC) ,32,14-18 ,378,418,0.9
281,Ga. Southern (Sun Belt) ,31,20-11 ,316,350,0.9
282,Charleston So. (Big South) ,31,15-16 ,368,408,0.9
283,IUPUI (Horizon) ,30,11-19 ,385,427,0.9
284,Manhattan (MAAC) ,31,14-17 ,433,482,0.9
285,Alabama (SEC) ,31,17-14 ,396,441,0.9
286,Appalachian St. (Sun Belt) ,31,14-17 ,386,430,0.9
287,Kent St. (MAC) ,32,16-16 ,376,419,0.9
288,Western Caro. (SoCon) ,32,13-19 ,427,476,0.9
289,LIU Brooklyn (NEC) ,34,18-16 ,429,481,0.89
290,Pittsburgh (ACC) ,31,8-23 ,387,435,0.89
291,George Mason (Atlantic 10) ,31,15-16 ,362,407,0.89
292,UC Irvine (Big West) ,32,16-16 ,400,450,0.89
293,American (Patriot) ,30,6-24 ,367,413,0.89
294,Cal St. Fullerton (Big West) ,28,17-11 ,357,403,0.89
295,Colorado (Pac-12) ,30,16-14 ,379,429,0.88
296,Syracuse (ACC) ,32,20-12 ,356,403,0.88
297,Western Ill. (Summit League) ,28,12-16 ,308,350,0.88
298,Jacksonville (ASUN) ,33,15-18 ,415,472,0.88
299,Norfolk St. (MEAC) ,32,14-18 ,435,496,0.88
300,UMKC (WAC) ,31,10-21 ,347,398,0.87
301,Loyola Maryland (Patriot) ,31,9-22 ,360,414,0.87
302,UT Martin (OVC) ,31,10-21 ,390,449,0.87
303,Washington (Pac-12) ,31,20-11 ,362,417,0.87
304,Sacred Heart (NEC) ,31,10-21 ,401,462,0.87
305,Coastal Caro. (Sun Belt) ,31,14-17 ,407,469,0.87
306,Idaho St. (Big Sky) ,30,14-16 ,354,408,0.87
307,Morgan St. (MEAC) ,30,12-18 ,356,412,0.86
308,Southern U. (SWAC) ,32,15-17 ,363,425,0.85
309,Valparaiso (MVC) ,32,15-17 ,399,469,0.85
310,UTEP (C-USA) ,30,11-19 ,319,375,0.85
311,Little Rock (Sun Belt) ,31,7-24 ,379,446,0.85
312,Long Beach St. (Big West) ,32,15-17 ,411,488,0.84
313,Ark.-Pine Bluff (SWAC) ,32,13-20 ,394,468,0.84
314,Monmouth (MAAC) ,31,11-20 ,399,474,0.84
315,Ill.-Chicago (Horizon) ,32,17-15 ,407,484,0.84
315,Rutgers (Big Ten) ,34,15-19 ,333,396,0.84
317,South Ala. (Sun Belt) ,31,14-17 ,389,463,0.84
318,Central Conn. St. (NEC) ,32,14-18 ,397,473,0.84
319,South Fla. (AAC) ,31,10-21 ,367,438,0.84
320,Arkansas St. (Sun Belt) ,31,11-20 ,338,404,0.84
321,UMES (MEAC) ,32,7-25 ,347,417,0.83
322,UConn (AAC) ,31,14-17 ,323,389,0.83
323,Rice (C-USA) ,31,7-24 ,378,460,0.82
324,VMI (SoCon) ,30,9-21 ,356,442,0.81
325,Indiana St. (MVC) ,31,13-18 ,360,447,0.81
326,South Carolina St. (MEAC) ,32,10-22 ,352,445,0.79
327,UCF (AAC) ,30,18-12 ,323,411,0.79
328,Northern Ill. (MAC) ,32,13-19 ,296,378,0.78
329,McNeese (Southland) ,28,11-17 ,306,391,0.78
330,San Jose St. (MWC) ,29,4-25 ,372,476,0.78
331,Robert Morris (NEC) ,33,16-17 ,382,490,0.78
332,Florida A&M (MEAC) ,33,9-24 ,361,464,0.78
333,Chicago St. (WAC) ,31,3-28 ,364,468,0.78
334,Mississippi Val. (SWAC) ,32,4-28 ,327,422,0.77
335,Maine (America East) ,32,6-26 ,378,497,0.76
336,Marist (MAAC) ,31,6-25 ,369,488,0.76
337,Morehead St. (OVC) ,29,8-21 ,344,456,0.75
338,Charlotte (C-USA) ,29,6-23 ,319,428,0.75
339,Tennessee St. (OVC) ,30,15-15 ,326,442,0.74
340,Siena (MAAC) ,32,8-24 ,355,483,0.73
341,Coppin St. (MEAC) ,32,5-27 ,338,462,0.73
342,Grambling (SWAC) ,31,17-14 ,342,477,0.72
343,Alabama St. (SWAC) ,31,8-23 ,313,437,0.72
344,Delaware St. (MEAC) ,32,4-28 ,348,491,0.71
345,A&M-Corpus Christi (Southland) ,28,11-17 ,316,448,0.71
346,Incarnate Word (Southland) ,28,7-21 ,311,444,0.7
347,California (Pac-12) ,31,8-23 ,310,459,0.68
348,Alabama A&M (SWAC) ,31,3-28 ,340,514,0.66
349,Longwood (Big South) ,33,7-26 ,327,516,0.63
350,Northern Ariz. (Big Sky) ,32,5-27 ,314,497,0.63
351,Northwestern St. (Southland) ,29,4-25 ,279,496,0.56
