Rank,Team,GM,W-L,3FG,3FGA
160,Hofstra (CAA) ,31,19-12 ,260,693
160,Texas (Big 12) ,31,18-13 ,219,693
160,Massachusetts (Atlantic 10) ,31,12-19 ,274,693
160,SMU (AAC) ,31,16-15 ,266,693
164,Longwood (Big South) ,33,7-26 ,226,690
164,Bowling Green (MAC) ,32,16-16 ,241,690
166,Norfolk St. (MEAC) ,32,14-18 ,248,689
167,Mississippi St. (SEC) ,31,21-10 ,211,688
168,Texas Southern (SWAC) ,32,13-19 ,244,686
168,Florida St. (ACC) ,30,20-10 ,240,686
170,Duke (ACC) ,31,25-6 ,260,685
171,UNI (MVC) ,32,16-16 ,229,684
172,Santa Clara (WCC) ,31,11-20 ,232,682
172,Wright St. (Horizon) ,34,25-9 ,233,682
174,Houston (AAC) ,30,24-6 ,266,680
175,Arkansas St. (Sun Belt) ,31,11-20 ,232,679
175,New Mexico St. (WAC) ,30,25-5 ,217,679
175,Southern California (Pac-12) ,31,21-10 ,257,679
178,Western Mich. (MAC) ,32,17-15 ,233,678
179,Houston Baptist (Southland) ,31,6-25 ,219,677
180,Gardner-Webb (Big South) ,32,14-18 ,236,676
181,Southern Miss. (C-USA) ,31,14-17 ,227,674
182,Clemson (ACC) ,30,22-8 ,249,673
183,Iowa (Big Ten) ,33,14-19 ,252,672
183,FGCU (ASUN) ,34,23-11 ,244,672
183,UNC Asheville (Big South) ,33,21-12 ,263,672
186,Michigan St. (Big Ten) ,33,29-4 ,277,671
186,Binghamton (America East) ,31,11-20 ,235,671
186,Southern Utah (Big Sky) ,30,12-18 ,235,671
189,Harvard (Ivy League) ,29,17-12 ,232,666
190,Portland (WCC) ,32,10-22 ,255,665
190,Tennessee St. (OVC) ,30,15-15 ,223,665
190,Colorado St. (MWC) ,31,11-20 ,217,665
193,George Mason (Atlantic 10) ,31,15-16 ,222,662
193,South Carolina (SEC) ,31,16-15 ,220,662
195,Ohio (MAC) ,31,14-17 ,244,661
196,TCU (Big 12) ,31,21-10 ,264,660
196,St. John's (NY) (Big East) ,31,15-16 ,221,660
198,Sam Houston St. (Southland) ,31,18-13 ,215,659
198,North Dakota (Big Sky) ,31,12-19 ,222,659
200,Weber St. (Big Sky) ,30,20-10 ,276,658
201,Penn St. (Big Ten) ,34,21-13 ,252,657
202,Xavier (Big East) ,31,27-4 ,244,656
202,Rider (MAAC) ,31,22-9 ,237,656
202,NC State (ACC) ,31,21-10 ,241,656
205,Saint Francis (PA) (NEC) ,30,18-12 ,243,654
205,Louisville (ACC) ,31,19-12 ,237,654
205,SIUE (OVC) ,30,9-21 ,212,654
208,NJIT (ASUN) ,30,14-16 ,236,653
209,N.C. A&T (MEAC) ,32,19-13 ,192,651
209,Idaho (Big Sky) ,30,22-8 ,268,651
209,South Dakota (Summit League) ,34,26-8 ,237,651
212,Miami (FL) (ACC) ,30,22-8 ,237,650
212,UT Martin (OVC) ,31,10-21 ,210,650
212,Southeastern La. (Southland) ,31,21-10 ,232,650
215,Nebraska (Big Ten) ,32,22-10 ,226,648
216,Tulane (AAC) ,30,14-16 ,224,644
216,Wisconsin (Big Ten) ,33,15-18 ,216,644
216,Wake Forest (ACC) ,31,11-20 ,241,644
219,UConn (AAC) ,31,14-17 ,211,643
220,San Diego St. (MWC) ,29,19-10 ,219,642
220,Oral Roberts (Summit League) ,32,11-21 ,220,642
222,Cincinnati (AAC) ,31,27-4 ,235,640
223,UTEP (C-USA) ,30,11-19 ,219,639
224,Alabama St. (SWAC) ,31,8-23 ,209,638
224,Eastern Ky. (OVC) ,31,11-20 ,226,638
224,Kansas St. (Big 12) ,31,21-10 ,224,638
224,Coastal Caro. (Sun Belt) ,31,14-17 ,211,638
228,Iowa St. (Big 12) ,30,13-17 ,228,637
228,Idaho St. (Big Sky) ,30,14-16 ,252,637
230,Morehead St. (OVC) ,29,8-21 ,204,631
230,Colorado (Pac-12) ,30,16-14 ,223,631
230,Charleston So. (Big South) ,31,15-16 ,208,631
