Rank,Name,GM,W-L,OPP FG,OPP FGA,OPP FG%
179,Central Conn. St. (NEC) ,32,14-18 ,816,1862,43.8
180,DePaul (Big East) ,30,11-19 ,761,1736,43.8
181,Fairleigh Dickinson (NEC) ,31,13-18 ,812,1851,43.9
182,Eastern Wash. (Big Sky) ,31,18-13 ,777,1770,43.9
183,Toledo (MAC) ,31,21-10 ,862,1963,43.9
184,Campbell (Big South) ,31,16-15 ,775,1764,43.9
185,Maine (America East) ,32,6-26 ,833,1896,43.9
186,LIU Brooklyn (NEC) ,34,18-16 ,945,2150,44
187,Sacred Heart (NEC) ,31,10-21 ,794,1806,44
188,UMBC (America East) ,33,23-10 ,824,1874,44
189,Saint Mary's (CA) (WCC) ,33,28-5 ,806,1833,44
190,Wake Forest (ACC) ,31,11-20 ,770,1751,44
191,Abilene Christian (Southland) ,31,16-15 ,745,1694,44
192,Ole Miss (SEC) ,31,12-19 ,825,1875,44
193,Stanford (Pac-12) ,31,17-14 ,844,1916,44.1
194,Nicholls St. (Southland) ,31,21-10 ,801,1818,44.1
195,San Francisco (WCC) ,33,18-15 ,784,1779,44.1
196,Texas St. (Sun Belt) ,31,14-17 ,731,1657,44.1
197,Indiana (Big Ten) ,31,16-15 ,773,1752,44.1
198,Hawaii (Big West) ,29,17-12 ,691,1566,44.1
199,Longwood (Big South) ,33,7-26 ,856,1939,44.1
200,Pittsburgh (ACC) ,31,8-23 ,813,1841,44.2
201,Louisiana Tech (C-USA) ,31,16-15 ,794,1797,44.2
202,Southern California (Pac-12) ,31,21-10 ,803,1816,44.2
203,Wyoming (MWC) ,31,19-12 ,846,1912,44.2
204,Army West Point (Patriot) ,30,13-17 ,757,1709,44.3
205,Rider (MAAC) ,31,22-9 ,819,1848,44.3
206,Marshall (C-USA) ,31,21-10 ,921,2078,44.3
207,Indiana St. (MVC) ,31,13-18 ,760,1714,44.3
208,Iowa St. (Big 12) ,30,13-17 ,831,1874,44.3
209,VMI (SoCon) ,30,9-21 ,767,1729,44.4
210,Incarnate Word (Southland) ,28,7-21 ,775,1746,44.4
211,Jacksonville (ASUN) ,33,15-18 ,907,2043,44.4
212,Morgan St. (MEAC) ,30,12-18 ,736,1657,44.4
213,Binghamton (America East) ,31,11-20 ,780,1750,44.6
214,Lamar University (Southland) ,31,19-12 ,761,1707,44.6
215,Tulane (AAC) ,30,14-16 ,791,1774,44.6
216,Northern Colo. (Big Sky) ,32,21-11 ,853,1913,44.6
217,Oklahoma (Big 12) ,30,18-12 ,909,2037,44.6
218,Albany (NY) (America East) ,32,22-10 ,807,1808,44.6
219,Lipscomb (ASUN) ,32,23-9 ,867,1942,44.6
220,Providence (Big East) ,31,19-12 ,809,1811,44.7
221,UTRGV (WAC) ,31,15-16 ,823,1842,44.7
222,Wofford (SoCon) ,33,21-12 ,800,1790,44.7
223,Siena (MAAC) ,32,8-24 ,819,1831,44.7
224,South Fla. (AAC) ,31,10-21 ,791,1767,44.8
