Rank,Team,GM,W-L,PTS,PPG
254,Gardner-Webb (Big South) ,32,14-18 ,2258,70.6
255,Boston U. (Patriot) ,31,15-16 ,2186,70.5
255,Southern Miss. (C-USA) ,31,14-17 ,2186,70.5
257,UC Irvine (Big West) ,32,16-16 ,2256,70.5
258,Morehead St. (OVC) ,29,8-21 ,2043,70.4
259,Hartford (America East) ,32,19-13 ,2254,70.4
260,Sam Houston St. (Southland) ,31,18-13 ,2182,70.4
261,Valparaiso (MVC) ,32,15-17 ,2252,70.4
262,La.-Monroe (Sun Belt) ,29,15-14 ,2038,70.3
263,Hawaii (Big West) ,29,17-12 ,2037,70.2
264,UMKC (WAC) ,31,10-21 ,2177,70.2
265,Alcorn (SWAC) ,32,11-21 ,2244,70.1
266,Missouri St. (MVC) ,33,18-15 ,2313,70.1
267,Bryant (NEC) ,31,3-28 ,2169,70
268,Southern Ill. (MVC) ,33,20-13 ,2308,69.9
269,South Ala. (Sun Belt) ,31,14-17 ,2166,69.9
270,South Carolina (SEC) ,31,16-15 ,2164,69.8
271,SMU (AAC) ,31,16-15 ,2162,69.7
272,SIUE (OVC) ,30,9-21 ,2090,69.7
273,Temple (AAC) ,30,16-14 ,2088,69.6
274,San Diego (WCC) ,31,18-13 ,2155,69.5
275,Loyola Maryland (Patriot) ,31,9-22 ,2154,69.5
276,Fla. Atlantic (C-USA) ,30,12-18 ,2083,69.4
277,Portland (WCC) ,32,10-22 ,2221,69.4
278,Chattanooga (SoCon) ,33,10-23 ,2289,69.4
279,Manhattan (MAAC) ,31,14-17 ,2147,69.3
279,Binghamton (America East) ,31,11-20 ,2147,69.3
281,Southern U. (SWAC) ,32,15-17 ,2214,69.2
282,New Orleans (Southland) ,29,14-15 ,2005,69.1
283,Stony Brook (America East) ,32,13-19 ,2205,68.9
284,UT Martin (OVC) ,31,10-21 ,2135,68.9
285,Robert Morris (NEC) ,33,16-17 ,2272,68.8
285,Florida A&M (MEAC) ,33,9-24 ,2272,68.8
287,Northwestern (Big Ten) ,32,15-17 ,2203,68.8
288,Navy (Patriot) ,32,20-12 ,2199,68.7
289,Alabama St. (SWAC) ,31,8-23 ,2129,68.7
289,Sacred Heart (NEC) ,31,10-21 ,2129,68.7
291,San Francisco (WCC) ,33,18-15 ,2266,68.7
292,Cleveland St. (Horizon) ,35,12-23 ,2402,68.6
293,Georgia (SEC) ,30,16-14 ,2058,68.6
294,Milwaukee (Horizon) ,33,16-17 ,2259,68.5
295,Western Caro. (SoCon) ,32,13-19 ,2190,68.4
296,Harvard (Ivy League) ,29,17-12 ,1983,68.4
297,IUPUI (Horizon) ,30,11-19 ,2047,68.2
298,Rice (C-USA) ,31,7-24 ,2114,68.2
299,Dartmouth (Ivy League) ,27,7-20 ,1841,68.2
300,UConn (AAC) ,31,14-17 ,2108,68
300,California (Pac-12) ,31,8-23 ,2108,68
302,UTEP (C-USA) ,30,11-19 ,2036,67.9
303,Central Conn. St. (NEC) ,32,14-18 ,2171,67.8
304,New Hampshire (America East) ,31,10-21 ,2103,67.8
305,Syracuse (ACC) ,32,20-12 ,2170,67.8
306,Air Force (MWC) ,30,12-18 ,2034,67.8
307,Chicago St. (WAC) ,31,3-28 ,2101,67.8
308,Siena (MAAC) ,32,8-24 ,2166,67.7
309,Cal Poly (Big West) ,30,9-21 ,2029,67.6
310,Sacramento St. (Big Sky) ,31,7-24 ,2090,67.4
311,A&M-Corpus Christi (Southland) ,28,11-17 ,1887,67.4
