Rank,Name,GM,W-L,FTM,FTA
263,NJIT (ASUN) ,30,14-16 ,396,579
263,Fla. Atlantic (C-USA) ,31,12-19 ,396,536
265,CSU Bakersfield (WAC) ,29,12-17 ,394,567
266,Butler (Big East) ,31,19-12 ,393,508
266,Eastern Wash. (Big Sky) ,31,18-13 ,393,511
266,UC Riverside (Big West) ,30,9-21 ,393,559
269,UC Santa Barbara (Big West) ,30,22-8 ,392,562
270,Iowa St. (Big 12) ,31,13-18 ,390,557
270,Mt. St. Mary's (NEC) ,32,18-14 ,390,532
270,UMBC (America East) ,33,23-10 ,390,599
270,Lafayette (Patriot) ,31,10-21 ,390,507
274,South Fla. (AAC) ,31,10-21 ,389,534
275,Canisius (MAAC) ,32,21-11 ,388,545
275,Mississippi Val. (SWAC) ,32,4-28 ,388,575
275,Yale (Ivy League) ,30,16-14 ,388,538
278,Mississippi St. (SEC) ,31,21-10 ,387,565
278,UNI (MVC) ,32,16-16 ,387,537
280,San Jose St. (MWC) ,30,4-26 ,386,559
280,Rhode Island (Atlantic 10) ,29,23-6 ,386,539
282,Maine (America East) ,32,6-26 ,385,559
283,Eastern Mich. (MAC) ,31,20-11 ,382,556
283,Belmont (OVC) ,33,24-9 ,382,517
285,Creighton (Big East) ,31,21-10 ,381,508
286,Santa Clara (WCC) ,31,11-20 ,380,524
286,Southern Miss. (C-USA) ,32,15-17 ,380,543
286,San Francisco (WCC) ,33,18-15 ,380,555
289,UC Irvine (Big West) ,32,16-16 ,379,543
290,Gardner-Webb (Big South) ,32,14-18 ,378,526
290,UNCG (SoCon) ,34,27-7 ,378,539
292,Eastern Ill. (OVC) ,31,12-19 ,377,551
292,Missouri St. (MVC) ,33,18-15 ,377,527
294,N.C. Central (MEAC) ,31,16-15 ,376,547
295,Hartford (America East) ,32,19-13 ,375,555
295,Denver (Summit League) ,30,15-15 ,375,540
295,Dayton (Atlantic 10) ,30,14-16 ,375,515
298,Lehigh (Patriot) ,30,16-14 ,373,480
299,IUPUI (Horizon) ,30,11-19 ,372,559
299,George Washington (Atlantic 10) ,32,15-17 ,372,523
