Rank,Team,GM,W-L,BLKS
178,Ohio (MAC) ,31,14-17 ,103
178,Lafayette (Patriot) ,31,10-21 ,103
178,Montana (Big Sky) ,30,23-7 ,103
178,IUPUI (Horizon) ,30,11-19 ,103
184,Saint Peter's (MAAC) ,32,14-18 ,102
184,UTRGV (WAC) ,31,15-16 ,102
184,Colorado St. (MWC) ,32,11-21 ,102
184,Northern Ky. (Horizon) ,31,22-9 ,102
184,Longwood (Big South) ,33,7-26 ,102
184,New Orleans (Southland) ,30,15-15 ,102
184,FIU (C-USA) ,32,14-18 ,102
191,Western Mich. (MAC) ,32,17-15 ,101
191,Iona (MAAC) ,33,20-13 ,101
193,Radford (Big South) ,34,22-12 ,100
193,Prairie View (SWAC) ,33,16-17 ,100
193,Lipscomb (ASUN) ,32,23-9 ,100
193,Northern Ariz. (Big Sky) ,32,5-27 ,100
193,Fresno St. (MWC) ,31,21-10 ,100
193,Eastern Wash. (Big Sky) ,31,18-13 ,100
193,Green Bay (Horizon) ,33,13-20 ,100
193,Fairleigh Dickinson (NEC) ,31,13-18 ,100
201,The Citadel (SoCon) ,32,11-21 ,99
201,LSU (SEC) ,30,17-13 ,99
203,Austin Peay (OVC) ,32,18-14 ,98
203,American (Patriot) ,30,6-24 ,98
203,Murray St. (OVC) ,31,26-5 ,98
203,Temple (AAC) ,30,16-14 ,98
207,NJIT (ASUN) ,30,14-16 ,97
207,Loyola Maryland (Patriot) ,31,9-22 ,97
209,Massachusetts (Atlantic 10) ,32,13-19 ,96
209,SMU (AAC) ,31,16-15 ,96
211,Fairfield (MAAC) ,33,17-16 ,95
211,FGCU (ASUN) ,34,23-11 ,95
213,Stony Brook (America East) ,32,13-19 ,94
213,Maine (America East) ,32,6-26 ,94
213,Southeastern La. (Southland) ,31,21-10 ,94
213,Cornell (Ivy League) ,27,12-15 ,94
213,DePaul (Big East) ,31,11-20 ,94
213,Arkansas St. (Sun Belt) ,32,11-21 ,94
219,Columbia (Ivy League) ,27,8-19 ,93
219,Canisius (MAAC) ,32,21-11 ,93
219,Butler (Big East) ,31,19-12 ,93
219,Little Rock (Sun Belt) ,32,7-25 ,93
219,Howard (MEAC) ,33,10-23 ,93
219,Kennesaw St. (ASUN) ,30,10-20 ,93
225,San Diego St. (MWC) ,29,19-10 ,92
225,Houston (AAC) ,30,24-6 ,92
225,Gardner-Webb (Big South) ,32,14-18 ,92
225,Cal St. Fullerton (Big West) ,28,17-11 ,92
225,Xavier (Big East) ,31,27-4 ,92
225,East Carolina (AAC) ,29,10-19 ,92
225,Evansville (MVC) ,32,17-15 ,92
225,UC Riverside (Big West) ,30,9-21 ,92
225,George Mason (Atlantic 10) ,31,15-16 ,92
225,Kansas St. (Big 12) ,31,21-10 ,92
225,New Mexico St. (WAC) ,30,25-5 ,92
225,Western Caro. (SoCon) ,32,13-19 ,92
237,Albany (NY) (America East) ,32,22-10 ,91
237,Saint Mary's (CA) (WCC) ,33,28-5 ,91
237,Yale (Ivy League) ,30,16-14 ,91
237,Southern Utah (Big Sky) ,30,12-18 ,91
241,Cleveland St. (Horizon) ,35,12-23 ,90
241,Texas St. (Sun Belt) ,32,15-17 ,90
241,Houston Baptist (Southland) ,31,6-25 ,90
241,La Salle (Atlantic 10) ,32,13-19 ,90
241,Princeton (Ivy League) ,29,13-16 ,90
241,Robert Morris (NEC) ,33,16-17 ,90
247,New Mexico (MWC) ,31,17-14 ,89
247,UTEP (C-USA) ,31,11-20 ,89
