Rank,Team,GM,W-L,3FG,3PG
152,Xavier (Big East) ,31,27-4 ,244,7.9
152,Ohio (MAC) ,31,14-17 ,244,7.9
154,NJIT (ASUN) ,30,14-16 ,236,7.9
155,Ole Miss (SEC) ,32,12-20 ,251,7.8
156,Southern Utah (Big Sky) ,30,12-18 ,235,7.8
157,Cornell (Ivy League) ,27,12-15 ,211,7.8
158,North Texas (C-USA) ,32,15-17 ,250,7.8
158,Stetson (ASUN) ,32,12-20 ,250,7.8
160,Stony Brook (America East) ,32,13-19 ,249,7.8
160,Lamar University (Southland) ,32,19-13 ,249,7.8
162,Wake Forest (ACC) ,31,11-20 ,241,7.8
163,Tennessee (SEC) ,30,23-7 ,233,7.8
164,Norfolk St. (MEAC) ,32,14-18 ,248,7.8
165,Radford (Big South) ,34,22-12 ,263,7.7
166,Saint Mary's (CA) (WCC) ,33,28-5 ,255,7.7
167,Louisville (ACC) ,32,20-12 ,247,7.7
168,Manhattan (MAAC) ,31,14-17 ,239,7.7
168,Ball St. (MAC) ,31,19-12 ,239,7.7
170,Grand Canyon (WAC) ,30,20-10 ,231,7.7
171,Col. of Charleston (CAA) ,33,26-7 ,254,7.7
172,Vermont (America East) ,33,27-6 ,253,7.7
173,Rider (MAAC) ,31,22-9 ,237,7.6
174,Iowa (Big Ten) ,33,14-19 ,252,7.6
175,Texas Southern (SWAC) ,32,13-19 ,244,7.6
175,UNCW (CAA) ,32,11-21 ,244,7.6
177,Colorado (Pac-12) ,31,17-14 ,236,7.6
178,St. Bonaventure (Atlantic 10) ,30,24-6 ,228,7.6
179,Cincinnati (AAC) ,31,27-4 ,235,7.6
179,Binghamton (America East) ,31,11-20 ,235,7.6
181,San Diego St. (MWC) ,29,19-10 ,219,7.6
182,Iowa St. (Big 12) ,31,13-18 ,234,7.5
183,Georgetown (Big East) ,30,15-15 ,226,7.5
184,Bowling Green (MAC) ,32,16-16 ,241,7.5
184,Bethune-Cookman (MEAC) ,32,18-14 ,241,7.5
186,Kent St. (MAC) ,32,16-16 ,240,7.5
186,VMI (SoCon) ,30,9-21 ,225,7.5
188,Southeastern La. (Southland) ,31,21-10 ,232,7.5
188,Santa Clara (WCC) ,31,11-20 ,232,7.5
190,Alcorn (SWAC) ,32,11-21 ,239,7.5
191,Tulane (AAC) ,30,14-16 ,224,7.5
192,Loyola Chicago (MVC) ,33,28-5 ,246,7.5
193,Tennessee St. (OVC) ,30,15-15 ,223,7.4
194,Penn St. (Big Ten) ,34,21-13 ,252,7.4
195,Dartmouth (Ivy League) ,27,7-20 ,200,7.4
196,Virginia (ACC) ,30,28-2 ,222,7.4
197,Jackson St. (SWAC) ,31,12-20 ,229,7.4
197,Boston U. (Patriot) ,31,15-16 ,229,7.4
199,Arkansas St. (Sun Belt) ,32,11-21 ,236,7.4
199,Illinois (Big Ten) ,32,14-18 ,236,7.4
199,Gardner-Webb (Big South) ,32,14-18 ,236,7.4
202,Old Dominion (C-USA) ,30,24-6 ,221,7.4
203,Youngstown St. (Horizon) ,32,8-24 ,235,7.3
204,Tennessee Tech (OVC) ,33,19-14 ,242,7.3
204,Robert Morris (NEC) ,33,16-17 ,242,7.3
206,Fordham (Atlantic 10) ,31,9-22 ,227,7.3
207,Western Caro. (SoCon) ,32,13-19 ,234,7.3
207,La Salle (Atlantic 10) ,32,13-19 ,234,7.3
209,Prairie View (SWAC) ,33,16-17 ,241,7.3
210,Eastern Ky. (OVC) ,31,11-20 ,226,7.3
211,Western Mich. (MAC) ,32,17-15 ,233,7.3
211,Southern Miss. (C-USA) ,32,15-17 ,233,7.3
213,South Carolina (SEC) ,32,17-15 ,232,7.3
214,New Mexico St. (WAC) ,30,25-5 ,217,7.2
215,Seton Hall (Big East) ,31,21-10 ,224,7.2
215,Eastern Ill. (OVC) ,31,12-19 ,224,7.2
215,Kansas St. (Big 12) ,31,21-10 ,224,7.2
215,UTEP (C-USA) ,31,11-20 ,224,7.2
219,James Madison (CAA) ,32,10-22 ,231,7.2
220,McNeese (Southland) ,28,11-17 ,202,7.2
221,Monmouth (MAAC) ,31,11-20 ,223,7.2
222,ETSU (SoCon) ,34,25-9 ,244,7.2
222,FGCU (ASUN) ,34,23-11 ,244,7.2
224,UMass Lowell (America East) ,30,12-18 ,215,7.2
224,Middle Tenn. (C-USA) ,30,24-6 ,215,7.2
226,North Dakota (Big Sky) ,31,12-19 ,222,7.2
226,George Mason (Atlantic 10) ,31,15-16 ,222,7.2
228,Maryland (Big Ten) ,32,19-13 ,229,7.2
228,UNI (MVC) ,32,16-16 ,229,7.2
230,Milwaukee (Horizon) ,33,16-17 ,235,7.1
231,IUPUI (Horizon) ,30,11-19 ,213,7.1
232,Texas (Big 12) ,32,19-13 ,227,7.1
233,Missouri St. (MVC) ,33,18-15 ,234,7.1
234,SIUE (OVC) ,30,9-21 ,212,7.1
235,Houston Baptist (Southland) ,31,6-25 ,219,7.1
236,Nebraska (Big Ten) ,32,22-10 ,226,7.1
236,St. John's (NY) (Big East) ,32,16-16 ,226,7.1
238,Morehead St. (OVC) ,29,8-21 ,204,7
239,Denver (Summit League) ,30,15-15 ,211,7
240,SFA (Southland) ,31,25-6 ,218,7
241,Maine (America East) ,32,6-26 ,225,7
241,Colorado St. (MWC) ,32,11-21 ,225,7
243,Arizona (Pac-12) ,31,24-7 ,217,7
243,Texas Tech (Big 12) ,31,23-8 ,217,7
245,South Dakota (Summit League) ,34,26-8 ,237,7
246,Sam Houston St. (Southland) ,31,18-13 ,215,6.9
247,Brown (Ivy League) ,27,11-16 ,186,6.9
248,Drexel (CAA) ,33,13-20 ,227,6.9
249,Siena (MAAC) ,32,8-24 ,220,6.9
249,Oral Roberts (Summit League) ,32,11-21 ,220,6.9
251,Fresno St. (MWC) ,31,21-10 ,213,6.9
251,Fairleigh Dickinson (NEC) ,31,13-18 ,213,6.9
253,Wright St. (Horizon) ,34,25-9 ,233,6.9
254,Longwood (Big South) ,33,7-26 ,226,6.8
255,Charlotte (C-USA) ,29,6-23 ,198,6.8
256,Minnesota (Big Ten) ,32,15-17 ,218,6.8
256,Coastal Caro. (Sun Belt) ,32,14-18 ,218,6.8
258,UConn (AAC) ,31,14-17 ,211,6.8
258,Mississippi St. (SEC) ,31,21-10 ,211,6.8
260,UAB (C-USA) ,32,20-12 ,217,6.8
261,UT Martin (OVC) ,31,10-21 ,210,6.8
262,Hawaii (Big West) ,29,17-12 ,196,6.8
263,Ohio St. (Big Ten) ,32,24-8 ,216,6.8
264,Alabama St. (SWAC) ,31,8-23 ,209,6.7
265,Western Ill. (Summit League) ,28,12-16 ,188,6.7
266,Charleston So. (Big South) ,31,15-16 ,208,6.7
267,Richmond (Atlantic 10) ,30,11-19 ,201,6.7
268,Abilene Christian (Southland) ,31,16-15 ,207,6.7
268,Washington (Pac-12) ,31,20-11 ,207,6.7
270,Valparaiso (MVC) ,32,15-17 ,213,6.7
271,Stanford (Pac-12) ,31,17-14 ,206,6.6
