Rank,Name,GM,W-L,3FG,3FGA
313,Rhode Island (Atlantic 10) ,29,23-6 ,185,547
314,Evansville (MVC) ,32,17-15 ,184,448
314,Albany (NY) (America East) ,32,22-10 ,184,502
316,Oregon St. (Pac-12) ,30,15-15 ,182,541
316,Alabama A&M (SWAC) ,31,3-28 ,182,601
318,Hampton (MEAC) ,32,18-14 ,181,572
319,Sacred Heart (NEC) ,31,10-21 ,179,599
319,Memphis (AAC) ,31,19-12 ,179,579
319,UC Riverside (Big West) ,30,9-21 ,179,576
319,Fla. Atlantic (C-USA) ,31,12-19 ,179,551
323,San Jose St. (MWC) ,30,4-26 ,178,485
323,UNLV (MWC) ,32,20-12 ,178,531
323,Northern Ariz. (Big Sky) ,32,5-27 ,178,584
326,CSU Bakersfield (WAC) ,29,12-17 ,177,591
327,East Carolina (AAC) ,29,10-19 ,176,583
327,George Washington (Atlantic 10) ,32,15-17 ,176,547
329,Southern U. (SWAC) ,32,15-17 ,174,510
330,Western Ky. (C-USA) ,31,22-9 ,172,477
331,Mississippi Val. (SWAC) ,32,4-28 ,171,568
332,Northern Ill. (MAC) ,32,13-19 ,169,512
333,Saint Louis (Atlantic 10) ,31,16-15 ,168,532
334,Chicago St. (WAC) ,31,3-28 ,166,532
334,Incarnate Word (Southland) ,28,7-21 ,166,493
336,Montana (Big Sky) ,30,23-7 ,165,498
337,High Point (Big South) ,30,14-16 ,163,456
337,Loyola Maryland (Patriot) ,31,9-22 ,163,509
339,UCF (AAC) ,30,18-12 ,162,500
340,Kentucky (SEC) ,31,21-10 ,161,462
341,Kennesaw St. (ASUN) ,30,10-20 ,160,438
342,Georgia Tech (ACC) ,32,13-19 ,156,490
343,Morgan St. (MEAC) ,31,13-18 ,155,460
344,Grambling (SWAC) ,31,17-14 ,154,470
345,Cal St. Fullerton (Big West) ,28,17-11 ,153,445
346,Pacific (WCC) ,32,14-18 ,151,459
347,A&M-Corpus Christi (Southland) ,29,11-18 ,149,437
348,Rutgers (Big Ten) ,34,15-19 ,145,500
349,New Orleans (Southland) ,30,15-15 ,143,406
350,California (Pac-12) ,31,8-23 ,141,493
351,Northwestern St. (Southland) ,29,4-25 ,125,448
