Rank,Team,GM,W-L,ST,STPG
159,VCU (Atlantic 10) ,31,17-14 ,198,6.4
161,Cal St. Fullerton (Big West) ,28,17-11 ,178,6.4
162,Monmouth (MAAC) ,31,11-20 ,197,6.4
163,Tennessee (SEC) ,30,23-7 ,190,6.3
164,Buffalo (MAC) ,31,23-8 ,196,6.3
165,UTSA (C-USA) ,32,19-13 ,202,6.3
165,Bethune-Cookman (MEAC) ,32,18-14 ,202,6.3
167,Middle Tenn. (C-USA) ,30,24-6 ,189,6.3
168,Radford (Big South) ,34,22-12 ,214,6.3
169,Grand Canyon (WAC) ,30,20-10 ,188,6.3
170,Michigan (Big Ten) ,35,28-7 ,219,6.3
171,Ole Miss (SEC) ,32,12-20 ,200,6.3
171,Alcorn (SWAC) ,32,11-21 ,200,6.3
173,Holy Cross (Patriot) ,31,12-19 ,193,6.2
173,Marquette (Big East) ,31,19-12 ,193,6.2
173,Eastern Ky. (OVC) ,31,11-20 ,193,6.2
176,Texas (Big 12) ,32,19-13 ,199,6.2
176,Norfolk St. (MEAC) ,32,14-18 ,199,6.2
176,Nevada (MWC) ,32,26-6 ,199,6.2
179,Northwestern St. (Southland) ,29,4-25 ,180,6.2
180,Saint Louis (Atlantic 10) ,31,16-15 ,191,6.2
180,Southern California (Pac-12) ,31,21-10 ,191,6.2
182,Pacific (WCC) ,32,14-18 ,197,6.2
183,Lehigh (Patriot) ,30,16-14 ,184,6.1
184,Bryant (NEC) ,31,3-28 ,190,6.1
185,N.C. A&T (MEAC) ,32,19-13 ,196,6.1
185,Colgate (Patriot) ,32,19-13 ,196,6.1
187,Sam Houston St. (Southland) ,31,18-13 ,189,6.1
188,USC Upstate (ASUN) ,32,7-25 ,195,6.1
188,Gardner-Webb (Big South) ,32,14-18 ,195,6.1
190,Penn (Ivy League) ,30,22-8 ,182,6.1
191,Memphis (AAC) ,31,19-12 ,188,6.1
192,Nebraska (Big Ten) ,32,22-10 ,194,6.1
193,Oakland (Horizon) ,33,19-14 ,200,6.1
194,Incarnate Word (Southland) ,28,7-21 ,169,6
195,UC Riverside (Big West) ,30,9-21 ,181,6
196,Ohio St. (Big Ten) ,32,24-8 ,193,6
196,Appalachian St. (Sun Belt) ,32,15-17 ,193,6
198,Jacksonville St. (OVC) ,33,21-12 ,198,6
198,Louisiana Tech (C-USA) ,32,17-15 ,192,6
198,Hartford (America East) ,32,19-13 ,192,6
198,Kent St. (MAC) ,32,16-16 ,192,6
198,Manhattan (MAAC) ,31,14-17 ,186,6
203,Liberty (Big South) ,34,20-14 ,203,6
204,George Mason (Atlantic 10) ,31,15-16 ,185,6
205,Milwaukee (Horizon) ,33,16-17 ,196,5.9
206,Colorado St. (MWC) ,32,11-21 ,190,5.9
206,Evansville (MVC) ,32,17-15 ,190,5.9
208,UConn (AAC) ,31,14-17 ,184,5.9
209,Utah Valley (WAC) ,30,21-9 ,178,5.9
210,Delaware St. (MEAC) ,32,4-28 ,189,5.9
210,Bowling Green (MAC) ,32,16-16 ,189,5.9
210,La Salle (Atlantic 10) ,32,13-19 ,189,5.9
213,Drake (MVC) ,32,16-16 ,188,5.9
214,Eastern Ill. (OVC) ,31,12-19 ,182,5.9
214,Fla. Atlantic (C-USA) ,31,12-19 ,182,5.9
216,CSU Bakersfield (WAC) ,29,12-17 ,170,5.9
217,Wake Forest (ACC) ,31,11-20 ,181,5.8
218,Purdue (Big Ten) ,34,28-6 ,198,5.8
219,Mississippi Val. (SWAC) ,32,4-28 ,186,5.8
220,Akron (MAC) ,31,14-17 ,179,5.8
220,Xavier (Big East) ,31,27-4 ,179,5.8
222,Clemson (ACC) ,30,22-8 ,173,5.8
223,Notre Dame (ACC) ,33,20-13 ,190,5.8
224,Virginia Tech (ACC) ,32,21-11 ,184,5.8
225,Southeast Mo. St. (OVC) ,31,14-17 ,178,5.7
226,UCLA (Pac-12) ,30,20-10 ,172,5.7
227,George Washington (Atlantic 10) ,32,15-17 ,183,5.7
228,Duquesne (Atlantic 10) ,31,16-15 ,177,5.7
228,Omaha (Summit League) ,31,9-22 ,177,5.7
228,Kentucky (SEC) ,31,21-10 ,177,5.7
231,Florida A&M (MEAC) ,34,9-25 ,194,5.7
232,Morehead St. (OVC) ,29,8-21 ,165,5.7
232,Charlotte (C-USA) ,29,6-23 ,165,5.7
234,Army West Point (Patriot) ,30,13-17 ,170,5.7
235,Minnesota (Big Ten) ,32,15-17 ,181,5.7
235,Southern U. (SWAC) ,32,15-17 ,181,5.7
235,UNLV (MWC) ,32,20-12 ,181,5.7
238,Creighton (Big East) ,31,21-10 ,175,5.6
239,Idaho St. (Big Sky) ,30,14-16 ,169,5.6
240,Dartmouth (Ivy League) ,27,7-20 ,152,5.6
241,North Carolina (ACC) ,32,23-9 ,180,5.6
241,Northern Ariz. (Big Sky) ,32,5-27 ,180,5.6
243,Bucknell (Patriot) ,34,25-9 ,191,5.6
243,LIU Brooklyn (NEC) ,34,18-16 ,191,5.6
245,William & Mary (CAA) ,31,19-12 ,174,5.6
246,San Francisco (WCC) ,33,18-15 ,185,5.6
247,Texas A&M (SEC) ,31,20-11 ,173,5.6
248,South Carolina (SEC) ,32,17-15 ,178,5.6
249,Texas Southern (SWAC) ,32,13-19 ,177,5.5
250,Quinnipiac (MAAC) ,33,12-21 ,182,5.5
251,Mercer (SoCon) ,32,18-14 ,176,5.5
251,Montana St. (Big Sky) ,32,13-19 ,176,5.5
251,UAB (C-USA) ,32,20-12 ,176,5.5
251,Boise St. (MWC) ,30,23-7 ,165,5.5
255,Binghamton (America East) ,31,11-20 ,170,5.5
256,Presbyterian (Big South) ,32,11-21 ,175,5.5
257,Georgetown (Big East) ,30,15-15 ,164,5.5
258,Wisconsin (Big Ten) ,33,15-18 ,180,5.5
259,Alabama St. (SWAC) ,31,8-23 ,169,5.5
259,Baylor (Big 12) ,31,18-13 ,169,5.5
261,Hawaii (Big West) ,29,17-12 ,158,5.4
262,Oral Roberts (Summit League) ,32,11-21 ,174,5.4
263,New Mexico St. (WAC) ,30,25-5 ,163,5.4
264,Santa Clara (WCC) ,31,11-20 ,168,5.4
265,Howard (MEAC) ,33,10-23 ,178,5.4
266,Harvard (Ivy League) ,29,17-12 ,156,5.4
267,Coppin St. (MEAC) ,32,5-27 ,172,5.4
267,Sacramento St. (Big Sky) ,32,7-25 ,172,5.4
269,Rice (C-USA) ,31,7-24 ,166,5.4
270,Utah (Pac-12) ,29,19-10 ,155,5.3
271,Coastal Caro. (Sun Belt) ,32,14-18 ,171,5.3
271,South Ala. (Sun Belt) ,32,14-18 ,171,5.3
271,Texas St. (Sun Belt) ,32,15-17 ,171,5.3
274,Drexel (CAA) ,33,13-20 ,176,5.3
274,Dayton (Atlantic 10) ,30,14-16 ,160,5.3
276,Ball St. (MAC) ,31,19-12 ,165,5.3
276,San Diego (WCC) ,31,18-13 ,165,5.3
278,Washington St. (Pac-12) ,31,12-19 ,164,5.3
278,Stanford (Pac-12) ,31,17-14 ,164,5.3
280,South Carolina St. (MEAC) ,32,10-22 ,169,5.3
280,Hampton (MEAC) ,32,18-14 ,169,5.3
282,Southern Utah (Big Sky) ,30,12-18 ,158,5.3
282,Weber St. (Big Sky) ,30,20-10 ,158,5.3
284,UC Irvine (Big West) ,32,16-16 ,168,5.3
285,North Florida (ASUN) ,33,14-19 ,173,5.2
286,UCF (AAC) ,30,18-12 ,157,5.2
287,McNeese (Southland) ,28,11-17 ,146,5.2
288,Iowa (Big Ten) ,33,14-19 ,172,5.2
289,Missouri (SEC) ,31,20-11 ,161,5.2
290,UNI (MVC) ,32,16-16 ,166,5.2
291,Cornell (Ivy League) ,27,12-15 ,140,5.2
292,Col. of Charleston (CAA) ,33,26-7 ,171,5.2
293,N.C. Central (MEAC) ,31,16-15 ,160,5.2
294,Portland (WCC) ,32,10-22 ,165,5.2
