Rank,Team,GM,W-L,TO
235,Marshall (C-USA) ,31,21-10 ,421
235,Fairfield (MAAC) ,33,17-16 ,421
235,North Texas (C-USA) ,31,15-16 ,421
238,Mississippi Val. (SWAC) ,32,4-28 ,422
238,Canisius (MAAC) ,32,21-11 ,422
238,Bucknell (Patriot) ,33,24-9 ,422
238,South Carolina (SEC) ,31,16-15 ,422
242,UTRGV (WAC) ,31,15-16 ,424
242,Jacksonville St. (OVC) ,33,21-12 ,424
242,Central Ark. (Southland) ,31,16-15 ,424
245,Southern U. (SWAC) ,32,15-17 ,425
245,Akron (MAC) ,31,14-17 ,425
245,VCU (Atlantic 10) ,31,17-14 ,425
248,Fairleigh Dickinson (NEC) ,31,13-18 ,426
248,Memphis (AAC) ,31,19-12 ,426
250,Boston U. (Patriot) ,31,15-16 ,427
250,IUPUI (Horizon) ,30,11-19 ,427
250,Illinois (Big Ten) ,32,14-18 ,427
253,Charlotte (C-USA) ,29,6-23 ,428
253,Wyoming (MWC) ,31,19-12 ,428
255,Winthrop (Big South) ,31,19-12 ,429
255,Colorado (Pac-12) ,30,16-14 ,429
257,Appalachian St. (Sun Belt) ,31,14-17 ,430
258,Evansville (MVC) ,32,17-15 ,431
259,Southeastern La. (Southland) ,31,21-10 ,432
260,N.C. A&T (MEAC) ,32,19-13 ,434
261,Samford (SoCon) ,32,10-22 ,435
261,Detroit Mercy (Horizon) ,32,8-24 ,435
261,Michigan St. (Big Ten) ,33,29-4 ,435
261,Miami (OH) (MAC) ,32,16-16 ,435
261,Oakland (Horizon) ,33,19-14 ,435
261,Pittsburgh (ACC) ,31,8-23 ,435
267,Alabama St. (SWAC) ,31,8-23 ,437
267,Gardner-Webb (Big South) ,32,14-18 ,437
267,Savannah St. (MEAC) ,31,15-16 ,437
270,South Fla. (AAC) ,31,10-21 ,438
270,N.C. Central (MEAC) ,31,16-15 ,438
270,Maryland (Big Ten) ,32,19-13 ,438
270,Houston Baptist (Southland) ,31,6-25 ,438
270,Wagner (NEC) ,32,23-9 ,438
270,Illinois St. (MVC) ,33,18-15 ,438
276,Alabama (SEC) ,31,17-14 ,441
276,Iowa (Big Ten) ,33,14-19 ,441
276,Bradley (MVC) ,33,20-13 ,441
279,VMI (SoCon) ,30,9-21 ,442
