Rank,Team,GM,W-L,TO,TOPG
154,Fla. Atlantic (C-USA) ,31,12-19 ,394,12.7
155,Southern Ill. (MVC) ,33,20-13 ,420,12.7
156,Montana (Big Sky) ,31,24-7 ,395,12.7
157,Bowling Green (MAC) ,32,16-16 ,408,12.8
157,Buffalo (MAC) ,32,24-8 ,408,12.8
159,George Washington (Atlantic 10) ,33,15-18 ,421,12.8
159,Fairfield (MAAC) ,33,17-16 ,421,12.8
161,San Diego (WCC) ,31,18-13 ,396,12.8
162,Hampton (MEAC) ,32,18-14 ,409,12.8
162,Georgia (SEC) ,32,18-14 ,409,12.8
162,Saint Louis (Atlantic 10) ,32,17-15 ,409,12.8
165,Seton Hall (Big East) ,32,21-11 ,410,12.8
166,Massachusetts (Atlantic 10) ,33,13-20 ,423,12.8
167,UMKC (WAC) ,31,10-21 ,398,12.8
168,Georgia Tech (ACC) ,32,13-19 ,411,12.8
168,Oral Roberts (Summit League) ,32,11-21 ,411,12.8
170,Jacksonville St. (OVC) ,33,21-12 ,424,12.8
171,Eastern Ky. (OVC) ,31,11-20 ,401,12.9
171,Bryant (NEC) ,31,3-28 ,401,12.9
171,New Mexico St. (WAC) ,31,26-5 ,401,12.9
174,UNCW (CAA) ,32,11-21 ,414,12.9
174,Eastern Mich. (MAC) ,32,21-11 ,414,12.9
176,Utah St. (MWC) ,33,17-16 ,427,12.9
177,Tulsa (AAC) ,30,19-11 ,389,13
178,Kent St. (MAC) ,33,17-16 ,428,13
179,Florida St. (ACC) ,31,20-11 ,403,13
180,George Mason (Atlantic 10) ,32,16-16 ,417,13
180,UMES (MEAC) ,32,7-25 ,417,13
182,Loyola Marymount (WCC) ,31,11-20 ,404,13
183,Saint Peter's (MAAC) ,32,14-18 ,418,13.1
183,North Dakota (Big Sky) ,32,12-20 ,418,13.1
185,Arkansas St. (Sun Belt) ,32,11-21 ,419,13.1
186,Cleveland St. (Horizon) ,35,12-23 ,459,13.1
187,Wright St. (Horizon) ,34,25-9 ,446,13.1
188,Mississippi St. (SEC) ,32,22-10 ,420,13.1
188,Lamar University (Southland) ,32,19-13 ,420,13.1
190,UC Davis (Big West) ,31,22-9 ,407,13.1
190,Wake Forest (ACC) ,31,11-20 ,407,13.1
192,Charleston So. (Big South) ,31,15-16 ,408,13.2
193,Michigan St. (Big Ten) ,33,29-4 ,435,13.2
193,Oakland (Horizon) ,33,19-14 ,435,13.2
195,Canisius (MAAC) ,32,21-11 ,422,13.2
195,Mississippi Val. (SWAC) ,32,4-28 ,422,13.2
197,Tulane (AAC) ,31,14-17 ,409,13.2
197,Omaha (Summit League) ,31,9-22 ,409,13.2
199,Ball St. (MAC) ,32,19-13 ,423,13.2
200,UAB (C-USA) ,33,20-13 ,437,13.2
201,Lafayette (Patriot) ,31,10-21 ,411,13.3
201,Idaho (Big Sky) ,31,22-9 ,411,13.3
203,Yale (Ivy League) ,30,16-14 ,398,13.3
204,Illinois St. (MVC) ,33,18-15 ,438,13.3
205,Southern U. (SWAC) ,32,15-17 ,425,13.3
206,Rider (MAAC) ,31,22-9 ,412,13.3
206,Ohio (MAC) ,31,14-17 ,412,13.3
208,NJIT (ASUN) ,30,14-16 ,399,13.3
209,Colorado St. (MWC) ,32,11-21 ,426,13.3
209,Sam Houston St. (Southland) ,32,19-13 ,426,13.3
211,Oklahoma St. (Big 12) ,33,19-14 ,440,13.3
212,Illinois (Big Ten) ,32,14-18 ,427,13.3
213,ETSU (SoCon) ,34,25-9 ,454,13.4
214,Loyola Maryland (Patriot) ,31,9-22 ,414,13.4
214,Oregon St. (Pac-12) ,31,15-16 ,414,13.4
216,Iowa (Big Ten) ,33,14-19 ,441,13.4
216,Bradley (MVC) ,33,20-13 ,441,13.4
218,Texas St. (Sun Belt) ,32,15-17 ,428,13.4
219,Boise St. (MWC) ,31,23-8 ,415,13.4
219,Oklahoma (Big 12) ,31,18-13 ,415,13.4
221,Howard (MEAC) ,33,10-23 ,442,13.4
221,Miami (OH) (MAC) ,33,16-17 ,442,13.4
