Rank,Team,GM,W-L,Opp 3FGA,Opp 3FG,Pct
134,Gardner-Webb (Big South) ,32,14-18 ,752,256,34
135,Troy (Sun Belt) ,32,16-16 ,728,248,34.1
136,UT Arlington (Sun Belt) ,31,19-12 ,854,291,34.1
137,Louisiana (Sun Belt) ,31,26-5 ,578,197,34.1
138,Coastal Caro. (Sun Belt) ,32,14-18 ,809,276,34.1
139,Xavier (Big East) ,31,27-4 ,808,276,34.2
140,Portland (WCC) ,32,10-22 ,793,271,34.2
141,North Florida (ASUN) ,33,14-19 ,673,230,34.2
142,Arizona St. (Pac-12) ,31,20-11 ,746,255,34.2
143,UAB (C-USA) ,32,20-12 ,839,287,34.2
144,Toledo (MAC) ,31,21-10 ,634,217,34.2
145,Old Dominion (C-USA) ,30,24-6 ,666,228,34.2
146,Tulsa (AAC) ,30,19-11 ,803,275,34.2
147,Lamar University (Southland) ,32,19-13 ,603,207,34.3
148,Cal St. Fullerton (Big West) ,28,17-11 ,565,194,34.3
149,Illinois (Big Ten) ,32,14-18 ,582,200,34.4
150,High Point (Big South) ,30,14-16 ,611,210,34.4
151,SMU (AAC) ,31,16-15 ,736,253,34.4
152,Virginia Tech (ACC) ,32,21-11 ,824,284,34.5
153,Lehigh (Patriot) ,30,16-14 ,815,281,34.5
154,Jackson St. (SWAC) ,31,12-20 ,574,198,34.5
155,Lafayette (Patriot) ,31,10-21 ,716,247,34.5
156,LSU (SEC) ,30,17-13 ,713,246,34.5
157,Manhattan (MAAC) ,31,14-17 ,620,214,34.5
158,North Dakota St. (Summit League) ,32,15-17 ,646,223,34.5
159,UTSA (C-USA) ,32,19-13 ,770,266,34.5
160,George Mason (Atlantic 10) ,31,15-16 ,752,260,34.6
161,Ohio St. (Big Ten) ,32,24-8 ,722,250,34.6
162,McNeese (Southland) ,28,11-17 ,609,211,34.6
163,Saint Louis (Atlantic 10) ,31,16-15 ,597,207,34.7
164,A&M-Corpus Christi (Southland) ,29,11-18 ,646,224,34.7
165,Arkansas (SEC) ,31,21-10 ,744,258,34.7
166,Radford (Big South) ,34,22-12 ,692,240,34.7
167,IUPUI (Horizon) ,30,11-19 ,608,211,34.7
168,Mt. St. Mary's (NEC) ,32,18-14 ,700,243,34.7
169,Alcorn (SWAC) ,32,11-21 ,766,266,34.7
170,Wright St. (Horizon) ,34,25-9 ,757,263,34.7
171,Massachusetts (Atlantic 10) ,32,13-19 ,636,221,34.7
172,Saint Francis (PA) (NEC) ,30,18-12 ,705,245,34.8
173,UNLV (MWC) ,32,20-12 ,679,236,34.8
174,La.-Monroe (Sun Belt) ,30,16-14 ,733,255,34.8
175,Georgetown (Big East) ,30,15-15 ,744,259,34.8
176,Morgan St. (MEAC) ,31,13-18 ,672,234,34.8
177,Florida A&M (MEAC) ,34,9-25 ,697,243,34.9
178,Dartmouth (Ivy League) ,27,7-20 ,631,220,34.9
179,CSU Bakersfield (WAC) ,29,12-17 ,671,234,34.9
180,Penn St. (Big Ten) ,34,21-13 ,625,218,34.9
181,San Jose St. (MWC) ,30,4-26 ,868,303,34.9
182,Howard (MEAC) ,33,10-23 ,719,251,34.9
183,Montana (Big Sky) ,30,23-7 ,507,177,34.9
184,Washington St. (Pac-12) ,31,12-19 ,759,265,34.9
185,VCU (Atlantic 10) ,31,17-14 ,693,242,34.9
186,Fort Wayne (Summit League) ,32,18-14 ,713,249,34.9
186,Oregon (Pac-12) ,32,21-11 ,713,249,34.9
188,Col. of Charleston (CAA) ,33,26-7 ,670,234,34.9
189,Siena (MAAC) ,32,8-24 ,647,226,34.9
190,UCLA (Pac-12) ,30,20-10 ,764,267,34.9
191,UTRGV (WAC) ,31,15-16 ,615,215,35
192,UC Santa Barbara (Big West) ,30,22-8 ,634,222,35
193,Wisconsin (Big Ten) ,33,15-18 ,528,185,35
194,UMBC (America East) ,33,23-10 ,776,272,35.1
195,East Carolina (AAC) ,29,10-19 ,619,217,35.1
196,Stony Brook (America East) ,32,13-19 ,627,220,35.1
197,Fordham (Atlantic 10) ,31,9-22 ,584,205,35.1
198,Chattanooga (SoCon) ,33,10-23 ,649,228,35.1
199,Davidson (Atlantic 10) ,29,18-11 ,686,241,35.1
200,Eastern Mich. (MAC) ,31,20-11 ,703,247,35.1
201,Marquette (Big East) ,31,19-12 ,603,212,35.2
202,Notre Dame (ACC) ,33,20-13 ,748,263,35.2
203,Seattle U (WAC) ,31,19-12 ,651,229,35.2
204,Montana St. (Big Sky) ,32,13-19 ,701,247,35.2
205,Oregon St. (Pac-12) ,30,15-15 ,613,216,35.2
206,Morehead St. (OVC) ,29,8-21 ,661,233,35.2
207,Wofford (SoCon) ,33,21-12 ,765,270,35.3
207,Wagner (NEC) ,32,23-9 ,629,222,35.3
209,Little Rock (Sun Belt) ,32,7-25 ,761,269,35.3
210,Stanford (Pac-12) ,31,17-14 ,693,245,35.4
211,Auburn (SEC) ,31,25-6 ,707,250,35.4
212,Holy Cross (Patriot) ,31,12-19 ,735,260,35.4
213,Monmouth (MAAC) ,31,11-20 ,825,292,35.4
214,Central Ark. (Southland) ,32,17-15 ,624,221,35.4
215,Eastern Wash. (Big Sky) ,31,18-13 ,601,213,35.4
216,Boston U. (Patriot) ,31,15-16 ,711,252,35.4
217,Fairleigh Dickinson (NEC) ,31,13-18 ,705,250,35.5
218,UTEP (C-USA) ,31,11-20 ,738,262,35.5
219,Princeton (Ivy League) ,29,13-16 ,614,218,35.5
220,Florida (SEC) ,31,20-11 ,597,212,35.5
221,Iona (MAAC) ,33,20-13 ,715,254,35.5
222,Gonzaga (WCC) ,34,30-4 ,709,252,35.5
223,Indiana St. (MVC) ,31,13-18 ,633,225,35.5
224,Cleveland St. (Horizon) ,35,12-23 ,813,289,35.5
225,Colorado (Pac-12) ,31,17-14 ,725,258,35.6
226,Norfolk St. (MEAC) ,32,14-18 ,812,289,35.6
227,George Washington (Atlantic 10) ,32,15-17 ,623,222,35.6
228,Western Ill. (Summit League) ,28,12-16 ,665,237,35.6
229,Mercer (SoCon) ,32,18-14 ,836,298,35.6
230,Clemson (ACC) ,30,22-8 ,631,225,35.7
231,Tennessee St. (OVC) ,30,15-15 ,760,271,35.7
232,CSUN (Big West) ,30,6-24 ,544,194,35.7
233,UT Martin (OVC) ,31,10-21 ,869,310,35.7
234,Rice (C-USA) ,31,7-24 ,796,284,35.7
234,Georgia St. (Sun Belt) ,31,21-10 ,796,284,35.7
236,Northwestern (Big Ten) ,32,15-17 ,636,227,35.7
237,Western Caro. (SoCon) ,32,13-19 ,790,282,35.7
238,Oral Roberts (Summit League) ,32,11-21 ,731,261,35.7
239,Southern California (Pac-12) ,31,21-10 ,728,260,35.7
240,Wichita St. (AAC) ,30,24-6 ,711,254,35.7
241,Akron (MAC) ,31,14-17 ,702,251,35.8
242,Colorado St. (MWC) ,32,11-21 ,842,302,35.9
243,Savannah St. (MEAC) ,31,15-16 ,814,292,35.9
