Rank,Team,GM,W-L,FT,FTA
245,Oregon (Pac-12) ,31,20-11 ,439,565
248,Southern California (Pac-12) ,31,21-10 ,409,564
248,Clemson (ACC) ,30,22-8 ,422,564
250,St. John's (NY) (Big East) ,31,15-16 ,413,562
250,UC Santa Barbara (Big West) ,30,22-8 ,392,562
250,La Salle (Atlantic 10) ,31,13-18 ,441,562
253,Saint Mary's (CA) (WCC) ,33,28-5 ,435,561
253,Loyola Chicago (MVC) ,33,28-5 ,406,561
255,Cornell (Ivy League) ,27,12-15 ,410,560
256,Boston U. (Patriot) ,31,15-16 ,357,559
256,UC Riverside (Big West) ,30,9-21 ,393,559
256,IUPUI (Horizon) ,30,11-19 ,372,559
256,Maine (America East) ,32,6-26 ,385,559
260,Furman (SoCon) ,33,23-10 ,397,557
260,Middle Tenn. (C-USA) ,30,24-6 ,413,557
262,Eastern Mich. (MAC) ,31,20-11 ,382,556
263,Hartford (America East) ,32,19-13 ,375,555
263,San Francisco (WCC) ,33,18-15 ,380,555
265,Georgia St. (Sun Belt) ,31,21-10 ,370,554
266,Utah (Pac-12) ,29,19-10 ,421,553
267,San Jose St. (MWC) ,29,4-25 ,379,551
267,Villanova (Big East) ,31,27-4 ,423,551
267,Eastern Ill. (OVC) ,31,12-19 ,377,551
270,Boise St. (MWC) ,30,23-7 ,404,550
271,Iowa St. (Big 12) ,30,13-17 ,386,548
272,N.C. Central (MEAC) ,31,16-15 ,376,547
273,Idaho (Big Sky) ,30,22-8 ,402,546
274,Canisius (MAAC) ,32,21-11 ,388,545
275,North Dakota St. (Summit League) ,32,15-17 ,414,544
275,New Hampshire (America East) ,31,10-21 ,401,544
277,UC Irvine (Big West) ,32,16-16 ,379,543
278,UMES (MEAC) ,32,7-25 ,366,542
279,Denver (Summit League) ,30,15-15 ,375,540
279,Sacred Heart (NEC) ,31,10-21 ,358,540
281,Rhode Island (Atlantic 10) ,29,23-6 ,386,539
281,UNCG (SoCon) ,34,27-7 ,378,539
283,Yale (Ivy League) ,30,16-14 ,388,538
283,Northwestern (Big Ten) ,32,15-17 ,402,538
285,UAB (C-USA) ,31,19-12 ,402,537
285,UNI (MVC) ,32,16-16 ,387,537
287,DePaul (Big East) ,30,11-19 ,381,536
287,Air Force (MWC) ,30,12-18 ,395,536
289,SMU (AAC) ,31,16-15 ,364,535
