Rank,Team,GM,W-L,Fouls,PFPG,DQ
192,Indiana (Big Ten) ,31,16-15 ,562,18.1,11
192,Fairleigh Dickinson (NEC) ,31,13-18 ,562,18.1,18
194,Pacific (WCC) ,32,14-18 ,581,18.2,14
194,NC State (ACC) ,32,21-11 ,581,18.2,9
196,Stanford (Pac-12) ,31,17-14 ,563,18.2,22
197,UT Arlington (Sun Belt) ,31,19-12 ,564,18.2,11
198,Hartford (America East) ,32,19-13 ,583,18.2,19
199,Texas Tech (Big 12) ,31,23-8 ,565,18.2,8
200,High Point (Big South) ,30,14-16 ,547,18.2,9
201,FIU (C-USA) ,32,14-18 ,585,18.3,10
202,Northern Ky. (Horizon) ,31,22-9 ,567,18.3,10
202,Florida St. (ACC) ,31,20-11 ,567,18.3,12
204,The Citadel (SoCon) ,32,11-21 ,586,18.3,20
204,Stetson (ASUN) ,32,12-20 ,586,18.3,13
206,UT Martin (OVC) ,31,10-21 ,568,18.3,13
207,FGCU (ASUN) ,34,23-11 ,623,18.3,18
208,Cal Poly (Big West) ,30,9-21 ,550,18.3,11
209,UNCW (CAA) ,32,11-21 ,587,18.3,20
210,American (Patriot) ,30,6-24 ,551,18.4,16
211,Sacramento St. (Big Sky) ,32,7-25 ,588,18.4,20
212,UConn (AAC) ,31,14-17 ,570,18.4,13
213,Arkansas St. (Sun Belt) ,32,11-21 ,589,18.4,14
214,Sacred Heart (NEC) ,31,10-21 ,571,18.4,6
214,Butler (Big East) ,31,19-12 ,571,18.4,11
216,Lehigh (Patriot) ,30,16-14 ,553,18.4,11
217,UNCG (SoCon) ,34,27-7 ,628,18.5,14
218,UNC Asheville (Big South) ,33,21-12 ,610,18.5,13
219,Kansas St. (Big 12) ,31,21-10 ,574,18.5,10
219,Washington (Pac-12) ,31,20-11 ,574,18.5,16
221,Bucknell (Patriot) ,34,25-9 ,632,18.6,8
222,Northern Ill. (MAC) ,32,13-19 ,595,18.6,7
223,NJIT (ASUN) ,30,14-16 ,558,18.6,8
224,Incarnate Word (Southland) ,28,7-21 ,521,18.6,9
225,Hofstra (CAA) ,31,19-12 ,577,18.6,9
226,St. John's (NY) (Big East) ,32,16-16 ,596,18.6,22
227,Columbia (Ivy League) ,27,8-19 ,504,18.7,7
228,N.C. Central (MEAC) ,31,16-15 ,580,18.7,15
228,UTEP (C-USA) ,31,11-20 ,580,18.7,21
228,Duquesne (Atlantic 10) ,31,16-15 ,580,18.7,19
231,Denver (Summit League) ,30,15-15 ,562,18.7,22
232,IUPUI (Horizon) ,30,11-19 ,563,18.8,10
233,Tennessee St. (OVC) ,30,15-15 ,564,18.8,21
234,Saint Peter's (MAAC) ,32,14-18 ,602,18.8,12
235,Canisius (MAAC) ,32,21-11 ,603,18.8,9
236,Northwestern (Big Ten) ,32,15-17 ,605,18.9,13
236,Southern U. (SWAC) ,32,15-17 ,605,18.9,11
238,New Orleans (Southland) ,30,15-15 ,568,18.9,8
239,Arizona St. (Pac-12) ,31,20-11 ,587,18.9,18
239,Alabama (SEC) ,31,17-14 ,587,18.9,15
241,North Dakota (Big Sky) ,31,12-19 ,588,19,17
242,Kent St. (MAC) ,32,16-16 ,607,19,27
243,San Jose St. (MWC) ,30,4-26 ,570,19,13
243,Kentucky (SEC) ,31,21-10 ,589,19,12
243,Coastal Caro. (Sun Belt) ,32,14-18 ,608,19,9
243,Bradley (MVC) ,33,20-13 ,627,19,6
247,Appalachian St. (Sun Belt) ,32,15-17 ,609,19,13
247,Ole Miss (SEC) ,32,12-20 ,609,19,18
249,Louisiana (Sun Belt) ,31,26-5 ,590,19,6
250,Northern Colo. (Big Sky) ,32,21-11 ,610,19.1,21
250,Ill.-Chicago (Horizon) ,32,17-15 ,610,19.1,11
252,South Carolina St. (MEAC) ,32,10-22 ,611,19.1,5
252,Little Rock (Sun Belt) ,32,7-25 ,611,19.1,8
254,Eastern Wash. (Big Sky) ,31,18-13 ,592,19.1,14
255,Colorado (Pac-12) ,31,17-14 ,593,19.1,16
256,Alcorn (SWAC) ,32,11-21 ,613,19.2,21
256,South Ala. (Sun Belt) ,32,14-18 ,613,19.2,12
258,Green Bay (Horizon) ,33,13-20 ,635,19.2,13
259,Savannah St. (MEAC) ,31,15-16 ,597,19.3,10
260,Rhode Island (Atlantic 10) ,29,23-6 ,559,19.3,9
261,Marquette (Big East) ,31,19-12 ,598,19.3,16
262,Oklahoma St. (Big 12) ,32,19-13 ,619,19.3,19
263,North Texas (C-USA) ,32,15-17 ,620,19.4,17
264,Ga. Southern (Sun Belt) ,31,20-11 ,601,19.4,7
264,Bryant (NEC) ,31,3-28 ,601,19.4,19
266,UC Davis (Big West) ,30,21-9 ,582,19.4,13
267,Hampton (MEAC) ,32,18-14 ,622,19.4,17
268,Wake Forest (ACC) ,31,11-20 ,604,19.5,8
269,San Francisco (WCC) ,33,18-15 ,643,19.5,9
270,Maine (America East) ,32,6-26 ,624,19.5,16
270,Ark.-Pine Bluff (SWAC) ,32,13-20 ,624,19.5,14
272,Fresno St. (MWC) ,31,21-10 ,605,19.5,13
272,Sam Houston St. (Southland) ,31,18-13 ,605,19.5,8
274,Hawaii (Big West) ,29,17-12 ,567,19.6,13
275,Colorado St. (MWC) ,32,11-21 ,626,19.6,20
276,Houston Baptist (Southland) ,31,6-25 ,607,19.6,15
277,Tennessee (SEC) ,30,23-7 ,588,19.6,19
278,Loyola Marymount (WCC) ,31,11-20 ,608,19.6,17
279,Morgan St. (MEAC) ,31,13-18 ,609,19.6,11
280,LIU Brooklyn (NEC) ,34,18-16 ,668,19.6,14
281,Lamar University (Southland) ,32,19-13 ,629,19.7,13
282,Auburn (SEC) ,31,25-6 ,611,19.7,11
283,Tennessee Tech (OVC) ,33,19-14 ,651,19.7,21
284,Army West Point (Patriot) ,30,13-17 ,593,19.8,6
285,Wyoming (MWC) ,32,20-12 ,633,19.8,17
285,Towson (CAA) ,32,18-14 ,633,19.8,19
287,Northwestern St. (Southland) ,29,4-25 ,574,19.8,11
288,Rider (MAAC) ,31,22-9 ,614,19.8,8
288,Indiana St. (MVC) ,31,13-18 ,614,19.8,16
288,Loyola Maryland (Patriot) ,31,9-22 ,614,19.8,9
291,Northern Ariz. (Big Sky) ,32,5-27 ,634,19.8,14
291,Vanderbilt (SEC) ,32,12-20 ,634,19.8,17
293,UC Riverside (Big West) ,30,9-21 ,597,19.9,17
294,Manhattan (MAAC) ,31,14-17 ,617,19.9,14
295,Middle Tenn. (C-USA) ,30,24-6 ,598,19.9,15
296,Akron (MAC) ,31,14-17 ,618,19.9,28
297,Oregon (Pac-12) ,32,21-11 ,638,19.9,17
298,Lipscomb (ASUN) ,32,23-9 ,639,20,12
299,Austin Peay (OVC) ,32,18-14 ,640,20,15
299,CSU Bakersfield (WAC) ,29,12-17 ,580,20,20
299,UTSA (C-USA) ,32,19-13 ,640,20,10
302,South Carolina (SEC) ,32,17-15 ,641,20,16
302,Siena (MAAC) ,32,8-24 ,641,20,19
