Rank,Team,GM,W-L,AST,APG
204,Bowling Green (MAC) ,32,16-16 ,425,13.3
205,Wright St. (Horizon) ,34,25-9 ,451,13.3
206,Colgate (Patriot) ,31,19-12 ,411,13.3
207,Fresno St. (MWC) ,31,21-10 ,409,13.2
208,North Dakota St. (Summit League) ,32,15-17 ,422,13.2
209,San Francisco (WCC) ,33,18-15 ,435,13.2
210,Eastern Wash. (Big Sky) ,31,18-13 ,408,13.2
211,Austin Peay (OVC) ,32,18-14 ,421,13.2
212,Coastal Caro. (Sun Belt) ,31,14-17 ,407,13.1
212,Memphis (AAC) ,31,19-12 ,407,13.1
214,East Carolina (AAC) ,29,10-19 ,380,13.1
215,Sacramento St. (Big Sky) ,31,7-24 ,406,13.1
216,Alcorn (SWAC) ,32,11-21 ,419,13.1
217,Omaha (Summit League) ,31,9-22 ,405,13.1
217,Eastern Ky. (OVC) ,31,11-20 ,405,13.1
219,La Salle (Atlantic 10) ,31,13-18 ,404,13
219,Akron (MAC) ,31,14-17 ,404,13
219,Santa Clara (WCC) ,31,11-20 ,404,13
222,Evansville (MVC) ,32,17-15 ,417,13
223,Cleveland St. (Horizon) ,35,12-23 ,456,13
224,Milwaukee (Horizon) ,33,16-17 ,429,13
224,Prairie View (SWAC) ,33,16-17 ,429,13
224,Hartford (America East) ,32,19-13 ,416,13
224,St. John's (NY) (Big East) ,31,15-16 ,403,13
224,Eastern Mich. (MAC) ,31,20-11 ,403,13
224,Montana (Big Sky) ,30,23-7 ,390,13
224,Harvard (Ivy League) ,29,17-12 ,377,13
231,Gardner-Webb (Big South) ,32,14-18 ,415,13
232,Florida (SEC) ,31,20-11 ,402,13
233,Sacred Heart (NEC) ,31,10-21 ,401,12.9
234,CSU Bakersfield (WAC) ,29,12-17 ,375,12.9
235,Colorado St. (MWC) ,31,11-20 ,400,12.9
236,Missouri St. (MVC) ,33,18-15 ,425,12.9
237,North Dakota (Big Sky) ,31,12-19 ,399,12.9
237,Monmouth (MAAC) ,31,11-20 ,399,12.9
239,Long Beach St. (Big West) ,32,15-17 ,411,12.8
240,IUPUI (Horizon) ,30,11-19 ,385,12.8
240,Tulsa (AAC) ,30,19-11 ,385,12.8
242,San Jose St. (MWC) ,29,4-25 ,372,12.8
243,Georgia Tech (ACC) ,32,13-19 ,409,12.8
244,Alabama (SEC) ,31,17-14 ,396,12.8
245,Chattanooga (SoCon) ,33,10-23 ,421,12.8
246,Cal St. Fullerton (Big West) ,28,17-11 ,357,12.8
247,Ill.-Chicago (Horizon) ,32,17-15 ,407,12.7
248,Temple (AAC) ,30,16-14 ,381,12.7
249,Western Mich. (MAC) ,32,17-15 ,406,12.7
250,South Carolina (SEC) ,31,16-15 ,393,12.7
251,Albany (NY) (America East) ,32,22-10 ,405,12.7
252,Princeton (Ivy League) ,29,13-16 ,367,12.7
253,Eastern Ill. (OVC) ,31,12-19 ,392,12.6
254,Colorado (Pac-12) ,30,16-14 ,379,12.6
255,LIU Brooklyn (NEC) ,34,18-16 ,429,12.6
256,UC Riverside (Big West) ,30,9-21 ,378,12.6
257,UT Martin (OVC) ,31,10-21 ,390,12.6
258,Jacksonville (ASUN) ,33,15-18 ,415,12.6
259,South Ala. (Sun Belt) ,31,14-17 ,389,12.5
260,Georgia (SEC) ,30,16-14 ,376,12.5
261,Montana St. (Big Sky) ,32,13-19 ,401,12.5
262,Brown (Ivy League) ,27,11-16 ,338,12.5
263,UC Irvine (Big West) ,32,16-16 ,400,12.5
264,North Texas (C-USA) ,31,15-16 ,387,12.5
264,Pittsburgh (ACC) ,31,8-23 ,387,12.5
266,Valparaiso (MVC) ,32,15-17 ,399,12.5
267,Wisconsin (Big Ten) ,33,15-18 ,411,12.5
268,Appalachian St. (Sun Belt) ,31,14-17 ,386,12.5
268,Lafayette (Patriot) ,31,10-21 ,386,12.5
270,SIUE (OVC) ,30,9-21 ,373,12.4
270,UC Davis (Big West) ,30,21-9 ,373,12.4
272,Central Conn. St. (NEC) ,32,14-18 ,397,12.4
